"","Weather Forecast for Main Cities","","","","17-Jan-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","",""
"","Max","Min","Max","Min",""
"Anuradhapura","32","22","95","60","Mainly fair"
"Batticaloa","29","24","90","65","A few showers"
"Colombo","31","22","85","50","Mainly fair"
"Galle","30","23","90","70","Mainly fair"
"Jaffna","30","24","95","65","Mainly fair"
"Kandy","29","18","95","60","Mainly fair"
"Nuwara-Eliya","20","8","90","55","Mainly fair"
"Ratnapura","32","21","95","65","Mainly fair"
"Trincomalee","29","22","95","60","Mainly fair"
"Mannar","30","24","85","65","Mainly fair"
