"","Weather Forecast for Main Cities","","","","9-Jul-2023"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","33","25","90","60","Mainly fair"
"Batticaloa","36","26","85","45","Showers or thundershowers are likely after 2.00p.m"
"Colombo","30","25","90","75","Several spells of light showers"
"Galle","29","25","90","85","Several spells of light showers"
"Jaffna","32","24","85","65","Mainly fair"
"Kandy","27","20","90","70","Several spells of light showers"
"Nuwara-Eliya","18","13","95","85","Several spells of light showers"
"Ratnapura","30","23","95","80","Several spells of light showers"
"Trincomalee","35","26","80","55","Showers or thundershowers are likely after 2.00p.m"
"Mannar","31","27","85","75","Mainly fair"
