"","උපරිම","අවම","උපරිම","අවම",""
"අනුරාධපුරය","33","25","90","60","ප්‍රධාන වශවයන් වැසි රහිත"
"මඩකලපුව","36","26","85","45","සවස 2.00න් පසුව වැසි වහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක"
"වකාළඹ","30","25","90","75","සිහින් වැසි වාර කිහිපයක්"
"ගාල්ල","29","25","90","85","සිහින් වැසි වාර කිහිපයක්"
"යාපනය","32","24","85","65","ප්‍රධාන වශවයන් වැසි රහිත"
"මහනුවර","27","20","90","70","සිහින් වැසි වාර කිහිපයක්"
"නුවරඑළිය","18","13","95","85","සිහින් වැසි වාර කිහිපයක්"
"රත්නපුරය","30","23","95","80","සිහින් වැසි වාර කිහිපයක්"
"ිකුණාමලය","35","26","80","55","සවස 2.00න් පසුව වැසි වහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක"
