"","Weather Forecast for Main Cities","","","Date :","25-Aug-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","35","24","85","45","Mainly fair"
"Batticaloa","32","26","80","60","Mainly fair"
"Colombo","31","27","85","70","A few showers"
"Galle","30","27","90","80","A few showers"
"Jaffna","33","27","80","65","Mainly fair"
"Kandy","31","21","90","60","Mainly fair"
"Nuwara-Eliya","22","14","90","65","Mainly fair"
"Ratnapura","34","24","95","65","A few showers"
"Trincomalee","36","25","85","45","Showers or thundershowers are likely after 2.00p.m"
"Mannar","32","27","80","65","Mainly fair"
