"","ප්‍රධාන  නගර සදහා කාලගුණ අනාවැකිය","","","","දිනය :     2024-02-07"
"","","උෂ්ණත්වය(සස. අංශක)","","සාසේක්ෂ ආර්ද්‍රතාවය(%)",""
"නගරය","","","","",""
"","උපරිම","අවම","උපරිම","අවම",""
"අනුරාධපුරය","32","23","90","60","ප්‍රධාන වශයයන් වැසි රහිත"
"මඩකලපුව","30","25","75","70","ප්‍රධාන වශයයන් වැසි රහිත"
"යකාළඹ","32","25","95","75","ප්‍රධාන වශයයන් වැසි රහිත"
"ගාල්ල","32","24","95","65","ප්‍රධාන වශයයන් වැසි රහිත"
"යාපනය","31","24","90","65","ප්‍රධාන වශයයන් වැසි රහිත"
"මහනුවර","30","20","90","60","ප්‍රධාන වශයයන් වැසි රහිත"
"නුවරඑළිය","20","8","90","65","ප්‍රධාන වශයයන් වැසි රහිත"
"රත්නපුරය","33","22","95","60","ප්‍රධාන වශයයන් වැසි රහිත"
"ත්‍රිකුණාමලය","30","25","80","70","ප්‍රධාන වශයයන් වැසි රහිත"
"මන්නාරම","31","24","80","65","ප්‍රධාන වශයයන් වැසි රහිත"
