"මාර්ග අවහිර වීම්",""
"දිසරික්කය","අවහිර වී ඇති මාර්ග"
"කළුතර","දමාේකාව - බුලත්තසිංහල මාර්ගදේ පරදගාඩ ප්‍රදේශදේ මාර්ගය අඩි 05ක් පමණ"
"(බුලත්තසිංහල)","ජලදයන් යට වී ඇත."
"කළුතර","දමාේකාව -  බුලත්තසිංහල මාර්ගදේ යටගම්පිටිය ප්‍රදේශදේ මාර්ගය අඩි 02ක් පමණ"
"(බුලත්තසිංහල)","ජලදයන් යට වී ඇත."
"කළුතර","බදුරලිය -  කළවාන මාර්ගදේ මිදලන ප්‍රදේශදේ මාර්ගය අඩි 02ක් පමණ ජලදයන් යට වී"
"(පාලින්දනුවර)","ඇත."
"කළුතර","බදුරලිය -  හැඩිගේල මාර්ගදේ ඟග ළග ප්‍රදේශදේ මාර්ගය අඩි 01 ½ක් පමණ ජලදයන්"
"(පාලින්දනුවර)","යට වී ඇත."
