"සුරක්ිත මධයසරථාන ිළිබඳ විසරතර","","","","",""
"දිසරික්කය  ආපදාව","","","","පවුේ","පුද්ගලයින්"
"","","ප්‍රා.ලේ.ලකා","මධයසරථානලේ නම","",""
"","","","","සාංඛ්‍යාව","සාංඛ්‍යාව"
"රත්තනපුර","","ගංවතුර  ඇහැලියදගාඩ","පහළගම රාහුල විදයාලය","3","9"
"","","","ඇළපාත විදයාලය","1","5"
"","","ඇළපාත","","",""
"","","","දව්රගම අලුපේදල දසරනාසනය","11","33"
"","","","විදව්කාරාම විහාරය","",""
"","","දකාට්දට්","විජයාරාම විදයාලය","199","868"
"දකාළඹ","ගංවතුර","","","",""
"","","","දහරවාවිතාරණ ප්‍රාථමික විදයාලය","",""
"","","","ෆිලිෆර තිළකවර්ධ්‍න විදයාලය","",""
"","","","මුණිදාස කුමාරතුංග විදයාලය","",""
"","","කඩුදවල","තුන්හඳදහරන ප්‍රාජා ශාලා 02","24","100"
"","","","මහ දදණිය පන්සල","",""
"","","","පහළ දබෝමිරිය විදයාලය","",""
"","","තිඹිරිගසරයාය","වනාතමුේල දමාදහාමේ  ප්‍රාජා ශාලාව","29","40"
"","","","හංවැේල පේලිය","",""
"","","සීතාවක","මායාදුන්න මහ විදයාලය","101","461"
"","","","ජයවීර දගාඩ සමාධි දපරපාසල","",""
