"","","wind","","","","","","","","","","","","",""
"","","Heavy Rain and high","","","","","","","","","","","","",""
"","Kahawattha","","2024.05.20","36","128","","","","","35","","1","","",""
"","","wind","","","","","","","","","","","","",""
"","","Heavy Rain and high","","","","","","","","","","","","",""
"","Palmadulla","","2024.05.20","40","211","","","","1","58","","1","","",""
"","","wind","","","","","","","","","","","","",""
"","","Heavy Rain and high","","","","","","","","","","","","",""
"","Nivithigala","","2024.05.20","38","156","","","","","38","","","","",""
"","","wind","","","","","","","","","","","","",""
"ස්ත්‍බරගමුව පලාත","","Heavy Rain and high","","","","","","","","","","","","",""
"","Eheliyagoda","","2024.05.20","47","165","","","","","46","","1","","",""
"rg;ufKt","","wind","","","","","","","","","","","","",""
"Sabaragamuwa","","Heavy Rain and high","","","","","","","","","","","","",""
"","Opanayake","","2024.05.20","17","68","","","","","13","","","2","",""
"","","wind","","","","","","","","","","","","",""
"","","Heavy Rain and high","","","","","","","","","","","","",""
"","Embilipitiya","","2024.05.22/23","14","53","","","","","14","","","","",""
"","","wind","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","671","2520","1","1","0","5","631","","22","7","0","0
0"
"","","Tree Fallen / High","","","","","","","","","","","","",""
"","Dehiovita","","2024.05.20-27","28","115","","","","","28","","","","",""
"","","Wind","","","","","","","","","","","","",""
"","","Tree Fallen / High","","","","","","","","","","","","",""
"","Warakapola","","2024.05.20-28","42","163","","","","","40","","1","","",""
"","","Wind","","","","","","","","","","","","",""
"","","Tree Fallen / High","","","","","","","","","","","","",""
"","Galigamuwa","","2024.05.20-29","12","38","","","","","12","","","","",""
"","","Wind","","","","","","","","","","","","",""
"","","Tree Fallen / High","","","","","","","","","","","","",""
"","Ruwanwella","","2024.05.20-30","7","25","","","","","7","","1","","",""
"","","Wind","","","","","","","","","","","","",""
"","","Tree Fallen / High","","","","","","","","","","","","",""
"","Deraniyagala","","2024.05.20-31","17","65","","","","","17","","","","",""
"","","Wind","","","","","","","","","","","","",""
"","කෑගල්ල Nffhiy","Tree Fallen / High","","","","","","","","","","","","",""
"2","Rambukkana","","2024.05.20-32","7","19","","","","","7","","","","",""
"Kegalle","","Wind","","","","","","","","","","","","",""
"","","Tree Fallen / High","","","","","","","","","","","","",""
"","Mawanella","","2024.05.20-33","44","165","","","","","44","","1","","",""
"","","Wind","","","","","","","","","","","","",""
"","","Tree Fallen / High","","","","","","","","","","","","",""
"","Aranayake","","2024.05.20-34","58","226","","","","","58","","2","","",""
"","","Wind","","","","","","","","","","","","",""
"","","Tree Fallen / High","","","","","","","","","","","","",""
"","Kegalla","","2024.05.20-35","21","73","","","","1","20","","1","","",""
"","","Wind","","","","","","","","","","","","",""
"","","Tree Fallen / High","","","","","","","","","","","","",""
"","Yatiyanthota","","2024.05.20-36","17","58","","","","3","14","","","","",""
"","","Wind","","","","","","","","","","","","",""
"","","Tree Fallen / High","","","","","","","","","","","","",""
"","Bulathkohupitiya","","2024.05.20-37","13","43","","","","","13","","","","",""
"","","Wind","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","266","990","0","0","0","4","260","","6","0","0","0
0"
