"","Weather Forecast for Main Cities","","","","19-Mar-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","",""
"","Max","Min","Max","Min",""
"Anuradhapura","36","24","90","40","Mainly fair"
"Batticaloa","31","24","90","60","Mainly fair"
"Colombo","32","27","85","60","Mainly fair"
"Galle","32","26","80","55","Mainly fair"
"Jaffna","32","24","80","55","Mainly fair"
"Kandy","34","21","90","40","Mainly fair"
"Nuwara-Eliya","22","8","80","40","Mainly fair"
"Ratnapura","36","24","90","40","Mainly fair"
"Trincomalee","32","24","90","55","Mainly fair"
"Mannar","33","24","90","55","Mainly fair"
