"","Bulathkohupitiya","Tree Fallen","2018.06.05","1","4","","","","","1","","","","","",""
"","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","1581","6152","2","0","1","8","226","5","0","2","18","49",""
"","","","","","","","","","","","","","","","","One person died due"
"","Gampaha","","2018.05.20","","","1","","","","","","","","","",""
"","","","","","","","","","","","","","","","","to Drowning"
"","","","","","","","","","","","","","","","","One person died due"
"","","","2018.06.01","","","1","","","","","","","","","",""
"","","","","","","","","","","","","","","","","to Drowning"
"","Attanagalla","","","","","","","","","","","","","","",""
"","","Drowning / දිලේ","","","","","","","","","","","","","","One person died due"
"","ගම්පහ","","2018.05.21","","","1","","","","","","","","","",""
"","16
fk;g`h","ගිලීම්","","","","","","","","","","","","","","to Drowning"
"","Gampaha","","","","","","","","","","","","","","","One person died due"
"","Diulapitiya","","2018.05.20","","","1","","","","","","","","","",""
"","","","","","","","","","","","","","","","","to Drowning"
"","","","","","","","","","","","","","","","","One person died due"
"","Mahara","","2018.05.20","","","1","","","","","","","","","",""
"","","","","","","","","","","","","","","","","to Drowning"
"","Kalaniya","Fire / ගිනිගැනීම්","2018.06.07","7","16","","","","5","2","","","","","",""
"Western/","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","7","16","5","0","0","5","2","0","0","0","0","0",""
"Nky;","","","","","","","","","","","","","","","",""
"","Colombo","","2018.05.22","123","593","","","","","","","","","","",""
"khfhzk/","","","","","","","","","","","","","","","",""
"","Seethawaka","","","264","1122","","","","","","10","","","","",""
"බස්නාහිර","","","","","","","","","","","","","","","",""
"පලාත","Kolonnawa","","","2451","9723","","","","","","","","","","",""
"","","","2018.05.21","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","One person died due"
"","Homagama","","","291","1126","1","","","","291","","","","","",""
"","","ගං වතුර","","","","","","","","","","","","","","to Drowning"
"","ලකොළඹ nfhOk;G 
Kaduwela","nts;sk;","","1923","7216","","","","1","1922","5","","4","17","69",""
"","17","","","","","","","","","","","","","","",""
"","Colombo","Flood","","","","","","","","","","","","","",""
"","Kesbewa","","","22","126","","","","","14","","","","","",""
"","kotte","","2018.05.22","43","157","","","","","43","","","","","",""
"","Dehiwala","","","1","3","","","","","","","","","","",""
