"","Weather Forecast for Main Cities","","","Date :","19-Jan-2025"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","30","23","95","70","Showers or thundershowers at times"
"Batticaloa","28","24","95","75","Showers or thundershowers at times"
"Colombo","32","24","90","50","Showers or thundershowers at times"
"Galle","28","24","90","75","Showers at times"
"Jaffna","29","24","85","70","Several spells of showers"
"Kandy","29","21","95","65","Showers or thundershowers at times"
"Nuwara-Eliya","18","13","95","70","Showers or thundershowers at times"
"Ratnapura","31","22","95","65","Showers or thundershowers at times"
"Trincomalee","28","24","95","75","Showers or thundershowers at times"
"Mannar","28","25","90","70","Several spells of showers"
