"","Weather Forecast for Main Cities","","","Date :","4-Mar-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","33","25","95","70","Mainly fair"
"Batticaloa","31","26","90","70","A few showers"
"Colombo","31","24","90","65","Mainly fair"
"Galle","31","24","95","70","Showers or thundershowers are likely after 4.00p.m"
"Jaffna","32","24","85","65","Mainly fair"
"Kandy","31","22","95","60","Mainly fair"
"Nuwara-Eliya","19","14","95","80","Mainly fair"
"Ratnapura","33","23","90","70","Showers or thundershowers are likely after 4.00p.m"
"Trincomalee","30","26","85","70","Mainly fair"
"Mannar","32","25","85","65","Mainly fair"
