"","Weather Forecast for Main Cities","","","Date :","21-Jun-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","32","24","90","60","Mainly fair"
"Batticaloa","34","26","90","65","Showers or thundershowers are likely after 2.00p.m"
"Colombo","31","25","90","75","Showers at times"
"Galle","30","25","90","80","Showers at times"
"Jaffna","33","28","90","70","Mainly fair"
"Kandy","29","24","90","75","Several spells of showers"
"Nuwara-Eliya","20","15","95","85","Several spells of showers"
"Ratnapura","32","24","95","75","Showers at times"
"Trincomalee","35","26","85","50","Mainly fair"
"Mannar","31","28","90","70","A few showers"
