"","","","","","","","","Page 2","","","","","","","","",""
"","","","","Drought","2020 March","636","3154","","","","","","","","","",""
"","","","Aththanagalla","Tree Fallen","2020.04.14","8","44","","","","","8","","","","",""
"බසරනාහිර පලාත","","","","","","","","","","","","","","","","",""
"","","","","Heavy Rain","2020.04.14/15","3","17","","","","","3","","","","",""
"Nky; khfhzk","","","","","","","","","","","","","","","","",""
"Western","","","Gampaha","","2020.03.12","10","48","","","","","","","","","",""
"","","","Mahara","Drought","2020 March","95","388","","","","","","","","","",""
"","","","","","2020.02.24","4904","16398","","","","","","","","","",""
"","","ගම්පහ","","","","","","","","","","","","","","",""
"","","fk;g`h","Divulapitiya","High Wind","","1","6","","","","","1","","","","",""
"","6","","","","2020.04.14","","","","","","","","","","","",""
"","","Gampaha","","Lightning","","1","5","","","","","1","","","","",""
"","","","","Drought","2020.03.12","2098","8580","","","","","","","","","",""
"","","","Miirigama","","","","","","","","","","","","","",""
"","","","","High Wind","2020.04.14","5","21","","","","","5","","","","",""
"","","","Katana","","2020.03.03","3621","13889","","","","","","","","","",""
"","","","","Drought","","","","","","","","","","","","",""
"","","","","","2020.04.10","15","47","","","","","","","","","",""
"","","","Minuwangoda","","","","","","","","","","","","","",""
"","","","","","2020.04.14","3","7","","","","","","","","","",""
"","","","","High wind","","","","","","","","","","","","",""
"","","","Jaela","","2020.04.15","1","6","","","","","1","","","","",""
"","","දිසරික් එකතුව khtl;l $l;Lj;njhif District Total","","","","11401","42610","0","0","0","0","19","0","0","0","0","0"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","","62651","258443","0","0","0","0","19","0","0","0","0","0"
"වයඹ පලාත","","","Arachchikattuwa","Drought","2020.03.04","1456","5186","","","","","","","","","",""
"tlNky;khfhzk;","","","Pallama","","2020.03.04","2822","9175","","","","","","","","","",""
"North Western","","","","","","","","","","","","","","","","",""
"","","","","","2020.03.10","513","1469","","","","","","","","","",""
"","","","Nawagaththegama","","","","","","","","","","","","","",""
"","","","","High wind","2020.04.15","610","1893","","","","","492","105","8","","",""
"","","","","","2020.03.06","1140","3556","","","","","","","","","","Distribution of drinking water"
"","","","Anamaduwa","","","","","","","","","","","","","",""
"","","","","High wind","2020.04.15","377","1265","","","","","377","17","7","","",""
"","","","","","2020.03.21","192","659","","","","","","","","","",""
"","","","Wanathavilluwa","","","","","","","","","","","","","",""
"","","පුත්තලම","","High wind","2020.04.13","16","48","","","","","16","1","","","",""
"","7","Gj;jsk;","","","2020.03.05","6291","19544","","","","","","","","","",""
"","","","Mahakumbukkadawala","","","","","","","","","","","","","",""
"","","Puttalam","","High wind","2020.04.15","2","7","","","","","2","1","","","",""
"","","","Mundalama","","2020.03.23","488","1657","","","","","","","","","",""
"","","","","","2020.03.28","52","180","","","","","","","","","",""
"","","","Puttalam","","","","","","","","","","","","","",""
"","","","","High wind","2020.04.15","3","11","","","","","2","1","","","",""
"වයඹ පලාත","","","Chilaw","","2020.04.01","255","965","","","","","","","","","",""
"tlNky;khfhzk;","","","Dankotuwa","","2020.04.08","75","275","","","","","","","","","",""
"North Western","","","","","","","","","","","","","","","","",""
"","","","Naththandiya","","2020.04.09","300","1310","","","","","","","","","",""
"","","","","","2020.03.23","1048","3063","","","","","","","","","",""
"","","","Karuwalagaswewa","","","","","","","","","","","","","",""
"","","","","High wind","2020.04.15","194","356","","","","","194","","","","",""
"","","දිසරික් එකතුව khtl;l $l;Lj;njhif District Total","","","","15834","50619","0","0","0","0","1083","125","15","0","0","0"
"","","","Kuliyapitiya East","","2020.04.08","1","5","","","","","1","","","","",""
"","","","Kurunegala","","2020.04.08","1","1","","","","","1","","","","",""
"","","","Mawathagama","","2020.04.10","1","3","","","","","1","","","","",""
"","","","Weerambugedara","","2020.04.10","2","8","","","","","2","","","","",""
"","","","Kotawehera","","2020.04.12","3","8","","","","","1","1","","","",""
"","","කුරුනෑගල","Polgahawela","","2020.04.12","2","7","","","","","1","1","","","",""
"","8","FUdhfy;","Ambanpola","High Wind","2020.04.13","10","31","","","","","10","","","","",""
"","","Kurunegala","Ganewatta","","2020.04.13","16","57","","","","","16","","","","",""
"","","","Polpithigama","","2020.04.13","21","74","","","","","21","","","","",""
"","","","Mallawapitiya","","2020.04.14","2","7","","","","","2","","","","",""
"","","","Alawwa","","2020.04.14","2","7","","","","","2","","","","",""
"","","","Mahawa","","2020.04.14","3","7","","","","","3","3","1","","",""
"","","","Wariyapola","","2020.04.14","1","5","","","","","1","","","","",""
"","","දිසරික් එකතුව khtl;l $l;Lj;njhif District Total","","","","65","220","0","0","0","0","62","5","1","0","0","0"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","","15899","50839","0","0","0","0","1145","130","16","0","0","0"
"","","","Pitabeddara","Drought","2020.03.11","645","2685","","","","","","","","","",""
"","","මාතර","","","","","","","","","","","","","","",""
"","9","khj;jiw","","","","","","","","","","","","","","",""
"","","","Pasgoda","","2020.04.13","4","16","","","","","4","","","","",""
"","","Matara","","High wind","","","","","","","","","","","","",""
"","","","Hakmana","","2020.04.14","1","4","","","","","1","","","","",""
"","","","Thihagoda","Lightning","2020.04.13","1","5","","","","","1","","","","",""
"","","දිසරික් එකතුව khtl;l $l;Lj;njhif District Total","","","","651","2710","0","0","0","0","6","0","0","0","0","0"
