"","fhyp          
13
Yakkalamulla","Cutting Faliure","2024.11.23","1","6","","","",""
"","Galle","","","","","","","",""
"","Imaduwa","Cutting Faliure","2024.11.23","2","8","","","",""
"","දිස෇ත්‍රික් එකතුල/khtl;l $l;Lj;njhif/District Total","","","4","20","0","0","0","0"
"","Akuressa","Flood / Wind","2024.11.24 - 26","17","80","","","",""
"දකුනු ප඼෈ත","Thihagoda","Flood / Wind","2024.11.24 - 26","153","576","","","",""
"njd; khfhzk;","","","","","","","","",""
"","Malimbada
ම෈තර","Flood / Wind","2024.11.24 - 26","32","89","","","","1"
"Southern","","","","","","","","",""
"","14
khj;jiw         
Kamburupitiya","Flood / Wind","2024.11.24 - 26","6","27","","","",""
"","Matara","","","","","","","",""
"","Pasgoda","Flood / Wind","2024.11.24 - 26","2","14","","","",""
"","Mulatiyana","Flood / Wind","2024.11.24 - 26","3","13","","","","1"
"","Welipitiya","Flood / Wind","2024.11.24 - 26","5","16","","","",""
"","දිස෇ත්‍රික් එකතුල/khtl;l $l;Lj;njhif/District Total","","","218","815","0","0","0","2"
