"Seruwila","Heavy rain / Flood","2024.11.24 - 26","35","83","","","","","1","","","1","34","80"
"Thampalagamuwa","Heavy rain / Flood","2024.11.24 - 26","43","139","","","","","","","","1","9","26"
"ත්‍රීකුණ෈ම඼ය","","","","","","","","","","","","","",""
"Town & Gravets","Heavy Rain","2024.11.25 - 26","177","617","","","","","2","","","","",""
"10
jp.kiy","","","","","","","","","","","","","",""
"Muthur","Heavy rain / Flood","2024.11.25 - 26","938","2574","","","","","2","","","","",""
"Trincomalee","","","","","","","","","","","","","",""
"Morawewa","Heavy rain / Flood","2024.11.26","6","24","","","","","","","","","",""
"Kinniya","Heavy rain / Flood","2024.11.25 - 26","338","948","","","","","","","","","",""
"දිස෇ත්‍රික් එකතුල/khtl;l $l;Lj;njhif/District Total","","","1537","4385","0","0","0","0","5","0","0","2","43","106"
"Manmunai South","Flood","2024.11.25","43","131","","","","","","","","","",""
"Kattankudy","Flood","2024.11.26","130","441","","","","","","","","","",""
"Manmunai North","Flood","2024.11.26","4","17","","","","","4","","","","",""
"Eravur Paththu
මඩක඼පුල","Flood","2024.11.26","19","64","","","","s","9","","","","",""
"kl;lf;fsg;G 
11
Koralaipattu kiran","Flood","2024.11.26","6","19","","","","","","","","","",""
"Batticaloa","","","","","","","","","","","","","",""
"MSEP Kalawanchikudi","Flood","2024.11.26","168","536","","","","","2","1","","1","6","19"
"Manmunai West","Flood","2024.11.26","8","29","","","","","","","","","",""
"Karalaipattu Centre","Flood","2024.11.26","3","9","","","","","3","","","","",""
"Koralaipattu North","Flood","2024.11.26","8","24","","","","","8","","","","",""
"දිස෇ත්‍රික් එකතුල/khtl;l $l;Lj;njhif/District Total","","","389","1270","0","0","0","0","26","1","0","1","6","19"
"Ampara","Heavy Rain & Flood","2024.11.26","490","1751","","3","7","","4","","","2","142","485"
"Navanthanveli","Heavy Rain & Flood","2024.11.26","166","682","","","","","","","","","",""
"Uhana","Heavy Rain & Flood","2024.11.26","412","1446","","","","","13","","","5","19","63"
"Kalmunai","Heavy Rain & Flood","2024.11.26","2783","10726","","","","","","","","4","343","1377"
"Kalmunai North","Heavy Rain & Flood","2024.11.26","518","1618","","","","","2","","","4","190","569"
"Samanthurai","Heavy Rain & Flood","2024.11.26","1007","3537","","","","","18","","","5","175","511"
"Addalachchenai","Heavy Rain & Flood","2024.11.26","7256","26672","","","","","","","","6","107","370"
"Akkaraipattu","Heavy Rain & Flood","2024.11.26","8021","30749","","","","","","","","5","239","828"
"Alayadivembu","Heavy Rain & Flood","2024.11.26","5128","15957","","","","","","","","10","631","1716"
"අම්ප෈ර","","","","","","","","","","","","","",""
"Dehiattakandiya","Heavy Rain & Flood","2024.11.26","111","432","","","","","","","","2","18","71"
"12
mk;ghiw","","","","","","","","","","","","","",""
"Irakkamam","Heavy Rain & Flood","2024.11.26","385","1184","","","","","3","","","1","9","28"
"Ampara","","","","","","","","","","","","","",""
"Karativu","Heavy Rain & Flood","2024.11.26","1361","4503","","","","","","","","1","17","38"
"Lahugala","Heavy Rain & Flood","2024.11.26","176","584","","","","","","","","","",""
"Nintavur","Heavy Rain & Flood","2024.11.26","2778","8849","","","","","","","","","",""
"Saintamaruthu","Heavy Rain & Flood","2024.11.26","961","3707","","","","","","","","3","95","346"
"Pothuvil","Heavy Rain & Flood","2024.11.26","2962","10292","","","","","","","","2","79","269"
"Damana","Heavy Rain & Flood","2024.11.26","91","321","","","","","17","","","","",""
"Maha Oya","Heavy Rain & Flood","2024.11.26","49","170","","","","","6","","","","",""
"Thirukkovil","Heavy Rain & Flood","2024.11.26","224","681","","","","","1","","","2","18","39"
"Padiyathalawa","Heavy Rain & Flood","2024.11.26","6","15","","","","","6","","","","",""
"දිස෇ත්‍රික් එකතුල/khtl;l $l;Lj;njhif/District Total","","","34885","123876","0","3","7","0","70","0","0","52","2082","6710"
"පළ෈ත් ඵකතුල/ khfhz $l;Lj;njhif/Province Total","","","36811","129531","0","3","7","0","101","1","0","55","2131","6835"
"Niyagama","Tree Fallen","2024.11.24","1","6","","","","","1","","","","",""
"ග෈ේ඼","","","","","","","","","","","","","",""
"fhyp          
13
Yakkalamulla","Cutting Faliure","2024.11.23","1","6","","","","","","","","","",""
"Galle","","","","","","","","","","","","","",""
"Imaduwa","Cutting Faliure","2024.11.23","2","8","","","","","2","","","","",""
"දිස෇ත්‍රික් එකතුල/khtl;l $l;Lj;njhif/District Total","","","4","20","0","0","0","0","3","0","0","0","0","0"
