"","","හම්බනගතාට","","","","","","","","","","","","",""
"","6","`k;ghe;Njhl;il","Beliaththa
High Wind","2023.05.10
1","5","","","","","1","","","","",""
"","","Hambantota","","","","","","","","","","","","",""
"","","දිසරික් එකතුව khtl;l $l;Lj;njhif District Total","","1","5","0","0","0","0","1","0","0","0","0","0"
"","","","Weligama
Tree Fallen","2023.05.13
1","5","","1","","","1","","","","",""
"","","","Kotapola","500","2250","","","","","","","","","",""
"දකුනු පලාත     njd;","","","Pasgoda","24","92","","","1","","23","","","","",""
"khfhzk;","","මාතර","","","","","","","","","","","","",""
"","","","Kamburupitiya","50","225","","","","","","","","","",""
"Southern","7","khj;jiw","","","","","","","","","","","","",""
"","","Matara","Flood
Mulatiyana","2023.05.14
220","","","","","","10","","","","",""
"","","","Aturaliya","487","2191","","","","1","4","","","","",""
"","","","Pitabeddara","326","1264","","","","","","","","","",""
"","","","Akuressa","88","358","","","","","","","","","",""
"","","දිසරික් එකතුව khtl;l $l;Lj;njhif District Total","","1696","6385","0","1","1","1","38","0","0","0","0","0"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","1697","6390","0","1","1","1","39","0","0","0","0","0"
"","","ගම්පහ      fk;g`h","","","","","","","","","","","","",""
"","8","","Dompe
Tree Fallen","2023.05.11
3","14","","6","","","3","","","","",""
"Western","","Gampaha","","","","","","","","","","","","",""
"Nky; khfhzk;","","","","","","","","","","","","","","",""
"බසරනාහිර පලාත","","දිසරික් එකතුව khtl;l $l;Lj;njhif District Total","","3","14","0","6","0","0","3","0","0","0","0","0"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","3","14","0","6","0","0","3","0","0","0","0","0"
"","","යාපනය","","","","","","","","","","","","",""
"","","","Point pedro","1","4","","","","","1","","","","",""
"","9","aho;g;ghzk;","High wind","2023.05.12","","","","","","","","","","",""
"උතුරු පලාත tl","","Jaffna","Jaffna","1","2","","","","","1","","","","",""
"khfhzk;  Northen","","","","","","","","","","","","","","",""
"","","දිසරික් එකතුව khtl;l $l;Lj;njhif District Total","","2","6","0","0","0","0","2","0","0","0","0","0"
