"","Weather Forecast for Main Cities","","","","3-Jul-2023"
"","","Temperature (0C)","Relative Humidity (%)","",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","26","90","60","Showers or thundershowers are likely after 4.00p.m"
"Batticaloa","34","27","90","65","Showers or thundershowers after 2.00p.m"
"Colombo","31","27","95","70","Showers at times"
"Galle","29","25","90","85","Showers at times"
"Jaffna","33","24","85","65","Showers at times"
"Kandy","28","22","90","65","Showers at times"
"Nuwara-Eliya","18","14","95","75","Showers at times"
"Ratnapura","31","24","95","75","Showers at times"
"Trincomalee","32","25","80","50","Showers or thundershowers after 2.00p.m"
"Mannar","32","27","90","80","Several spells of showers"
