"","","மாவட்டம் District","","","","","","","","","","KOik","sT","","","fl;likg;Gf;fs;","f   No.","","","",""
"","","","DS Division","","","Families","People","","","","g","","","சேதங்கள்; Small,","","","","","fs;","Persons",""
"","","","","","","","","","People","","","Fully","Partiall","","","Damages to","of Safety","","","",""
"","","","","","","","","","","","People","","","Medium,","","","","","Families","",""
"","","","","Drought","2019.01.24","","","","","","","","","","","","","","","",""
"","","","Arachchikattuwa","","","1598","5719","","","","","","","","","","","","","",""
"","","","Mundalama","","","2041","7404","","","","","","","","","","","","","",""
"","","","","Drought","2019.01.24","","","","","","","","","","","","","","","",""
"","","","","","","1823","6173","","","","","","","","","","","","","",""
"","","","Pallama","","","","","","","","","","","","","","","","","",""
"","","","","High Wind","2019.04.22","39","173","","","","","","27","","14","1","","","","",""
"","","පුත්තලම","","","","","","","","","","","","","","","","","","",""
"","","","Mahawewa","","","2164","8238","","","","","","","","","","","","","",""
"","3","Gj;jsk","","","","","","","","","","","","","","","","","","",""
"","","","Naththandiya","Drought","2019.01.24","979","3211","","","","","","","","","","","","","",""
"","","Puttalam","","","","","","","","","","","","","","","","","","",""
"","","","Nawagaththegama","","","148","392","","","","","","","","","","","","","",""
"වයඹ පලාත","","","","","","","","","","","","","","","","","","","","",""
"","","","Wanathavilluwa","","","65","263","","","","","","","","","","","","","",""
"tlNky;","","","","Drought","2019.01.24","","","","","","","","","","","","","","","",""
"khfhzk;","","","","","","1137","3348","","","","","","","","","","","","","",""
"","","","Karuwalagaswewa","","","","","","","","","","","","","","","","","",""
"North Western","","","","","","","","","","","","","","","","","","","","",""
"","","","","High Wind","2019.04.22","3","12","","","","","","3","","","","","","","",""
"","","","Anamaduwa","High Wind","2019.04.22","1","5","","","","","","1","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","","10011","34990","0","","0","0","0","31","","14","1","","0","","0","0"
"","","","Ambanpola","","","354","1002","","","","","","","","","","","","","",""
"","","කුරුනෑගල","","Drought","2019.04.03","","","","","","","","","","","","","","","",""
"","","","Bingiriya","","","90","210","","","","","","","","","","","","","",""
"","4","FUdhfy;","","","","","","","","","","","","","","","","","","",""
"","","Kurunegala","Udubaddawa","","","140","320","","","","","","","","","","","","","",""
"","","","Alawwa","High Wind","2019.04.15","1","2","","","1","","","1","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","","585","1534","0","","1","0","0","1","","0","0","","0","","0","0"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","","10596","36524","0","","1","0","0","32","","14","1","","0","","0","0"
