"","Weather Forecast for Main Cities","","","","28-Jan-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","30","23","95","70","A few showers"
"Batticaloa","29","24","95","75","Several spells of showers"
"Colombo","33","24","90","65","Showers or thundershowers are likely after 2.00p.m"
"Galle","31","24","90","55","Showers or thundershowers are likely after 2.00p.m"
"Jaffna","31","24","95","65","Mainly fair"
"Kandy","30","22","95","80","Showers or thundershowers are likely after 2.00p.m"
"Nuwara-Eliya","21","7","95","65","Showers or thundershowers"
"Ratnapura","34","21","95","60","Showers or thundershowers are likely after 2.00p.m"
"Trincomalee","31","24","95","75","Several spells of light showers"
"Mannar","31","25","90","65","Mainly fair"
