"","Weather Forecast for Main Cities","","","Date :","12-Feb-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","20","90","55","Mainly fair"
"Batticaloa","30","23","90","70","A few showers"
"Colombo","33","24","90","50","Mainly fair"
"Galle","31","25","85","65","Showers or thundershowers are likely after 4.00p.m"
"Jaffna","30","20","90","60","Mainly fair"
"Kandy","30","18","95","55","Mainly fair"
"Nuwara-Eliya","21","9","95","60","Mainly fair"
"Ratnapura","35","21","95","50","Showers or thundershowers are likely after 4.00p.m"
"Trincomalee","31","24","90","65","Mainly fair"
"Mannar","31","23","85","60","Mainly fair"
