"","Weather Forecast for Main Cities","","","","2024-07-22"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","",""
"","Max","Min","Max","Min",""
"Anuradhapura","35","26","85","50","Mainly fair"
"Batticaloa","38","27","80","45","Mainly fair"
"Colombo","32","27","85","70","Mainly fair"
"Galle","30","27","85","80","Mainly fair"
"Jaffna","33","27","80","65","Mainly fair"
"Kandy","30","21","90","60","Mainly fair"
"Nuwara-Eliya","20","15","80","70","Mainly fair"
"Ratnapura","34","25","85","55","A few showers"
"Trincomalee","36","27","80","45","Mainly fair"
"Mannar","31","27","85","70","Mainly fair"
