"","ප්‍රධාන්‍  න්‍ ර සදහා කාලගුණ අන්‍ාවැකිය","","","",""
"","","උෂ්ණත්වය(්ස. අංශක)","","සා්ේකෂ ආර්රතාවය(%)",""
"න්‍ රය","","","","",""
"","උපරිම","අවම","උපරිම","අවම",""
"අනුරාධපුරය","34","25","90","45","ප්‍රධාන වශහයන් වැසි රහිත"
"මඩකලපුව","36","25","90","45","ප්‍රධාන වශහයන් වැසි රහිත"
"හකාළඹ","31","27","85","70","වැසි සරවල්පයක්"
"ගාල්ල","30","27","85","75","වැසි සරවල්පයක්"
"යාපනය","31","26","85","60","ප්‍රධාන වශහයන් වැසි රහිත"
"ම නුවර","29","22","90","65","ප්‍රධාන වශහයන් වැසි රහිත"
"නුවරඑළිය","19","13","90","65","ප්‍රධාන වශහයන් වැසි රහිත"
"රත්තනපුරය","34","24","90","60","වැසි සරවල්පයක්"
"ත්‍රිකුණාමලය","35","27","80","45","ප්‍රධාන වශහයන් වැසි රහිත"
"මන්නාරම","31","28","85","65","ප්‍රධාන වශහයන් වැසි රහිත"
