"","Weather Forecast for Main Cities","","","Date :","2-Oct-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","",""
"","Max","Min","Max","Min",""
"Anuradhapura","34","25","90","45","Mainly fair"
"Batticaloa","36","25","90","45","Mainly fair"
"Colombo","31","27","85","70","A few showers"
"Galle","30","27","85","75","A few showers"
"Jaffna","31","26","85","60","Mainly fair"
"Kandy","29","22","90","65","Mainly fair"
"Nuwara-Eliya","19","13","90","65","Mainly fair"
"Ratnapura","34","24","90","60","A few showers"
"Trincomalee","35","27","80","45","Mainly fair"
"Mannar","31","28","85","65","Mainly fair"
