"","Weather Forecast for Main Cities","","","","27-Jun-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","32","26","85","65","A few showers"
"Batticaloa","35","26","80","50","Showers or thundershowers are likely after 2.00p.m"
"Colombo","30","25","90","85","Several spells of showers"
"Galle","29","25","95","80","Several spells of showers"
"Jaffna","30","28","85","75","A few showers"
"Kandy","27","22","95","75","Several spells of showers"
"Nuwara-Eliya","18","14","95","85","Several spells of showers"
"Ratnapura","30","23","95","90","Several spells of showers"
"Trincomalee","35","27","85","60","Mainly fair"
"Mannar","31","27","90","75","A few showers"
