"","Weather Forecast for Main Cities","","","Date :","29-Jul-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","24","90","55","Mainly fair"
"Batticaloa","37","26","85","40","Showers or thundershowers are likely after 2.00p.m"
"Colombo","30","26","85","70","A few showers"
"Galle","28","26","90","75","Several spells of light showers"
"Jaffna","33","26","75","65","Mainly fair"
"Kandy","29","22","90","70","A few showers"
"Nuwara-Eliya","18","15","95","80","A few showers"
"Ratnapura","33","25","90","65","Several spells of light showers"
"Trincomalee","36","25","85","50","Mainly fair"
"Mannar","30","26","85","70","Mainly fair"
