"","උපරිම","අවම","උපරිම","අවම",""
"අනුරාධ්‍පුරය","33","23","95","75","විටින් විට වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ"
"මඩකලපුව","30","25","95","80","වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ"
"හකාළඹ","32","24","95","70","සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ"
"ොල්ල","31","24","95","75","සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ"
"යාපනය","27","24","95","85","විටින් විට වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ"
"ම නුවර","29","21","95","70","සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ"
"නුවරඑළිය","22","13","95","75","සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ"
"රත්නපුරය","31","23","95","70","සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ"
"ත්‍රිකුණාමලය","30","24","95","85","විටින් විට වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ"
"මන්නාරම","30","24","95","80","සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ"
