"","","","","","","","","","","KOik","","sT","ன
்  சேதங் கள்","fl;likg;Gf;fs;","","f   No.","","",""
"District
DS Division","","","Families","","People","","People","g","","","","","","","","","s;","","Persons"
"","","","","","","","","","","Fully","","Partiall","Small, Medium,","Damages to","","of Safety","","",""
"","","","","","","","","People","","","","","","","","","Families","",""
"","","","","","","","","","","","","y","Enterprises","critical","","Location","","",""
"","","","","","","","","","","","","","Damages","Infrastructure","","s","","",""
"නුවරඑලිය","Fire","2020.08.11","","35","125","","","","","","24","","","","","1","","35","125 Muththumari Amman Kovil"
"Nuwaraeliya","","","","","","","","","","","","","","","","","","",""
"1
Etnuypah","Cutting failure","2020.09.18","","5","16","","","","","","","3","","","","","","",""
"Nuwara Eliya
Abagamuwa","Cutting failure","2020.09.07","","2","11","","","","","","","1","","","","","","","Layagams Hotel"
"Wlapane","Fire","2020.09.18","","","","","","","","","3","","","","","","","",""
"දිසරික් එකතුව khtl;l $l;Lj;njhif District Total","","","","42","152","0","0","","0","","27","4","0","","0","1","","35","125"
"Udunuwara","High Wind","2020.09.18","","1","6","","","","","","","1","","","","","","",""
"Harispattuwa","High Wind/Heavy Rain","2020.09.18","","4","16","","","","","","1","3","","","","","","",""
"Ududumbara","Heavy Rain","2020.09.18","","2","5","","","","","","","2","","","","","","",""
"","Heavy Rain","2020.09.18","","1","4","","","","","","","1","","","","","","",""
"Pathadumbara","","","","","","","","","","","","","","","","","","",""
"","High Wind","2020.09.20","","1","6","","","","","","","1","","","","","","",""
"","High Wind","","","1","5","","","","","","","1","","","","","","",""
"Akurana","","2020.09.18","","","","","","","","","","","","","","","","",""
"","Landslide Risk","","","1","8","","","","","","","","","","","","","",""
"","Heavy Rain","2020.09.18","","1","7","","","","","","","1","","","","","","",""
"Thumpane","","","","","","","","","","","","","","","","","","",""
"නුවර","Heavy Rain","2020.09.19","","1","5","","","","","","","1","","","","","","",""
"2
fz;b","","","","","","","","","","","","","","","","","","",""
"","High Wind/Heavy Rain","2020.0918","","1","5","","","","","","","1","","","","","","",""
"Kandy
Gangawata korale","","","","","","","","","","","","","","","","","","",""
"","Ladslide","2020.09.20","","5","23","3","2","","","","2","3","","","","","","",""
"","High Wind/Heavy Rain","2020.09.20","","1","2","","","","","","","1","","","","","","",""
"මධ්‍යම පලාත","","","","","","","","","","","","","","","","","","",""
"","High Wind","2020.09.19","","5","19","","","","","","","5","","","","","","",""
"Yatinuwara
kj;jpa khfhzk","","","","","","","","","","","","","","","","","","",""
"","High Wind","2020.09.20","","1","3","","","","","","","1","","","","","","",""
"Central","","","","","","","","","","","","","","","","","","",""
"Pathahewaheta","High Wind","2020.09.19","","1","3","","","","","","","1","","","","","","",""
"","High Wind/Heavy Rain","2020.09.19","","2","9","","1","","","","","2","","","","","","",""
"Medadumbara","","","","","","","","","","","","","","","","","","",""
"","Heavy Rain","2020.09.20","","1","2","","","","","","","1","","","","","","",""
"Deltota","High Wind","2020.09.20","","1","5","","","","","","","1","","","","","","",""
"දිසරික් එකතුව khtl;l $l;Lj;njhif District Total","","","","31","133","3","3","","0","","3","27","0","","0","0","","0","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","","73","285","3","3","","0","","30","31","0","","0","1","","35","125"
"Welimada","Fire","2020.08.17","","12","54","","","","","","12","","","","","1","","12","54 Alakolagala Day Care Centre"
"Welimada","High Wind","2020.09.19","","8","30","","","","","","","8","","","","","","",""
"බදුල්ල","Tree Fallen","2020.09.19","","2","8","","","","","","","2","","","","","","",""
"Uwaparanagame","","","","","","","","","","","","","","","","","","",""
"3
gJs;is","High Wind","2020.09.19","","2","9","","","","","","","2","","","","","","",""
"Badulla
Badulle","High Wind","2020.09.20","","1","4","","","","","","","1","","","","","","",""
"Passara","High Wind","2020.09.19","","1","4","","","","","","","1","","","","","","",""
"","Tree Fallen","2020.09.18","","1","5","","","","","","","1","","","","","","",""
"Redimaliyadda","","","","","","","","","","","","","","","","","","",""
"","High Wind","2020.09.20","","1","4","","","","","","","1","","","","","","",""
"දිසරික් එකතුව khtl;l $l;Lj;njhif District Total","","","","28","118","0","0","","0","","12","16","0","","0","1","","12","54"
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","","28","118","0","0","","0","","12","16","0","","0","1","","12","54"
"Ayagame","High wind","2020.09.18","","2","7","","","","","","","2","","","","","","",""
"","High wind","2020.09.18","","2","5","","","","","","","2","","","","","","",""
"Kalawana","","","","","","","","","","","","","","","","","","",""
"","High wind","2020.09.20","","2","8","","","","","","","","","","","","","",""
"","Cutting failure","2020.09.18","","2","7","","1","","","","1","1","","","","","","",""
"Kahawatta","Rock Fallen","2020.09.20","","1","5","","","","","","","1","","","","","","",""
"","High Wind","2020.09.20","","1","5","","","","","","","1","","","","","","",""
"රත්නපුර","","","","","","","","","","","","","","","","","","",""
"Kolonna","Cutting failure","2020.09.18","","2","11","","","","","","","2","","","","","","",""
"4
,uj;jpdGhp","","","","","","","","","","","","","","","","","","",""
"","Tree Fallen","2020.09.18","","1","6","","","","","","","1","","","","","","",""
"Rathnapura
Godakawela","","","","","","","","","","","","","","","","","","",""
"","Landslide Risk","2020.09.19","","10","48","","","","","","","","","","","","","",""
"","High wind","2020.09.19","","1","5","","","","","","1","","","","","","","",""
"Weligapola","","","","","","","","","","","","","","","","","","",""
"","Landslide Risk","2020.09.19","","4","18","","","","","","","","","","","","","",""
"Pelmadulle","High Wind","2020.09.20","","2","7","","","","","","","2","","","","","","",""
"සබරගමුව පලාත","","","","","","","","","","","","","","","","","","",""
"Balangoda
rg;ufKt","High Wind","2020.09.21","","27","79","","","","","","","27","","","","","","",""
"Nivithigala
Sabaragamuwa","High Wind","2020.09.21","","8","25","","","","","","","7","","","","","","",""
"දිසරික් එකතුව khtl;l $l;Lj;njhif District Total","","","","65","236","0","1","","0","","2","46","0","","0","0","","0","0"
