"","","","","","","","","හානි","","",""
"","","","","","","","People","People","","நிறுவனங்களின்",""
"","","gpuNjr nra.gp     DS","","","FLk;gq;fs;","egHfs;","","","gFjpasT","",""
"","மாவட்டம் District","","","","","","","KOik","","",""
"","","","","","Families","People","","","Partially","சேதங்கள்; Small,",""
"","","Division","","","","","","Fully","","",""
"","","","","","","","","","","Medium,",""
"","","","","","","","","","","Enterprises",""
"","","","","","","","","","","Damages",""
"","","","Tree Fallen","2023.09.28","1","3","","","1","",""
"","","","Cutting Failure Risk","2023.09.28","3","17","","","3","",""
"","","Rathnapura","","","","","","","","",""
"","","","Heavy Rain","2023.09.28","1","5","","","1","",""
"","","","Flood","2023.09.28","16","69","","","","",""
"","රත්නපුර    uj;jpdGhp","","Tree Fallen","2023.09.28","1","2","","","1","",""
"","1","","","","","","","","","",""
"සබරගමුෙ පලාත","Rathnapura","Ayagama","Cutting Failure Risk","2023.09.28","4","17","","","","",""
"rg;ufKt","","","","","","","","","","",""
"","","","Flood","2023.09.28","2","6","","","","",""
"Sabaragamuwa","","","","","","","","","","",""
"","","","Heavy Rain","2023.08.27","1","3","","","1","",""
"","","Kiriella","","","","","","","","",""
"","","","Cutting Failure","2023.09.28","1","4","","","","","1"
"","","Godakawela","Cutting Failure","202309.28","1","6","","","1","",""
