"","Weather Forecast for Main Cities","","","Date :","23-Aug-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","35","25","90","45","Showers or thundershowers are likely after 2.00p.m"
"Batticaloa","33","26","90","55","Showers or thundershowers are likely after 2.00p.m"
"Colombo","31","27","85","65","Mainly fair"
"Galle","29","26","90","75","Mainly fair"
"Jaffna","33","26","90","55","Mainly fair"
"Kandy","30","22","90","55","Showers or thundershowers are likely after 2.00p.m"
"Nuwara-Eliya","22","12","90","55","Showers or thundershowers are likely after 2.00p.m"
"Ratnapura","33","24","95","60","A few showers"
"Trincomalee","35","25","90","55","Showers or thundershowers are likely after 2.00p.m"
"Mannar","32","26","85","65","Mainly fair"
