"","ප්‍රා.ලේ. ලකා","","commenced","පවුේ ස්ත්‍ංඛ්‍යාව","පුද්ගලයින්","","","Missing","","අර්ධ හානි","நடுத்தர,","හානි mbg;gilf;","ස්ත්‍ංඛ්‍යාව","ස්ත්‍ංඛ්‍යාව","පුද්ගලයින්"
"දිස්ත්‍රික්කය","","","","","","","People","","හානි","","","","","",""
"","gpuNjr nra.gp     DS","","","FLk;gq;fs;","egHfs;","","","People","","gFjpasT","நிறுவனங்களின்","fl;likg;Gf;fs;","vz;zpf;i","FLk;gq;f","egHfs;"
"","மாவட்டம் District","","","","","","","","KOik","","","","","",""
"","","","","Families","People","","","","","Partially","சேதங்கள்; Small,","Damages to","f   No.","s;","Persons"
"","Division","","","","","","","","Fully","","","","","",""
"","","","","","","","","","","","Medium,","critical","of Safety","Families",""
"","","","","","","","","","","","Enterprises","Infrastructure","Locations","",""
"","","","","","","","","","","","Damages","","","",""
"","Muthur","","2023.05.10","1","2","","","","","1","","","","",""
"ත්‍රීකුණාමලය","","","","","","","","","","","","","","",""
"","Kanthale","","2023.05.14","1","4","","","","","1","","","","",""
"1
jp.kiy","","High Wind","","","","","","","","","","","","",""
"නැගෙනහිර පලාත","Kinniya","","2023.05.13","1","4","","","","","1","","","","",""
"Trincomalee","","","","","","","","","","","","","","",""
"fpof;F        Eastern","Seruvila","","2023.05.15","1","3","","","","","1","","","","",""
"","දිසරික් එකතුව khtl;l $l;Lj;njhif District Total","","","4","13","0","0","0","0","4","0","0","0","0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","4","13","0","0","0","0","4","0","0","0","0","0"
"","Godakawela","High Wind","2023.05.13","4","16","","","","","4","","","","",""
"","Elapatha","Heavy Rain","2023.05.13","1","2","","","","","1","","","","",""
"2","","","2023.05.12","4","13","","","","","4","","","","",""
"","Kolonna","High Wind","","","","","","","","","","","","",""
"","","","2023.05.15","1","4","","","","","1","","","","",""
"","රත්නපුර","","","","","","","","","","","","","",""
"","Kahawaththa","Heavy Rain","2023.05.13","1","3","","","","","1","","","","",""
",uj;jpdGhp","","","","","","","","","","","","","","",""
"","Pelmadulle","High Wind","2023.05.14","2","6","","","","","2","","","","",""
"Rathnapura","","","","","","","","","","","","","","",""
"","Kalawana","Heavy Rain","2023.05.14","3","11","","","","","3","","","","",""
"","Nivithagala","","2023.05.15","1","4","","","","","1","","","","",""
"","","High Wind","","","","","","","","","","","","",""
"","Kalthota","","2023.05.15","1","4","","","","","1","","","","",""
"සබරෙමුව පලාත","Eheliyagoda","Heavy Rain","2023.05.14","2","7","","","","","2","","","","",""
"rg;ufKt","දිසරික් එකතුව khtl;l $l;Lj;njhif District Total","","","20","70","0","0","0","0","20","0","0","0","0","0"
"Sabaragamuwa","","","","","","","","","","","","","","",""
"","","Tree Fallen","2023.05.11","1","5","","","","","1","","","","",""
"","Dehiovita","","","","","","","","","","","","","",""
"","","Heavy Rain","2023.05.14","1","5","","","","","1","","","","",""
"","","Lightning","2023.05.11","1","6","","","","","1","","","","",""
"කෑෙල්ල","Bulathkohupitiya","","","","","","","","","","","","","",""
"","","Rock Fallen Risk","2023.05.12","7","25","","","","","","","","","",""
"3
Nffhiy","","","","","","","","","","","","","","",""
"","","Tree Fallen","2023.05.11","1","4","","","","","1","","","","",""
"Kegalle","Ruwanwella","","","","","","","","","","","","","",""
"","","High Wind","2023.05.14","1","2","","","","","1","","","","",""
"","Mawanella","Cutting Failure","2023.05.11","2","8","","","","","2","","","","",""
"","Yatiyanthota","Wind","2023.05.11","1","5","","","","","1","","","","",""
"","දිසරික් එකතුව khtl;l $l;Lj;njhif District Total","","","15","60","0","0","0","0","8","0","0","0","0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","35","130","0","0","0","0","28","0","0","0","0","0"
"පුත්තලම","","","","","","","","","","","","","","",""
"4
Gj;jsk;","Wanathavilluwa","Flash Flood","2023.05.10","6","21","","","","","","","","","",""
"Puttalam","","","","","","","","","","","","","","",""
"","දිසරික් එකතුව khtl;l $l;Lj;njhif District Total","","","6","21","0","0","0","0","0","0","0","0","0","0"
"වයඹ පලාත","Galgamuwa","High Wind","2023.05.10","1","4","","","","","1","","","","",""
"කුරුණෑෙල 
tlNky; khfhzk;","","","","","","","","","","","","","","",""
"","Kuliyapitiya East","High Wind","2023.05.10","1","5","","","","","1","","","","",""
"5
FUdhfy; 
     North Western","","","","","","","","","","","","","","",""
"","Bamunukotuwa","High Wind","2023.05.12","1","4","","","","","1","","","","",""
"Kurunegala","","","","","","","","","","","","","","",""
"","Narammala","Heavy Rain","2023.05.13","1","1","","","","","1","","","","",""
"","දිසරික් එකතුව khtl;l $l;Lj;njhif District Total","","","4","14","0","0","0","0","4","0","0","0","0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","10","35","0","0","0","0","4","0","0","0","0","0"
