"","Weather Forecast for Main Cities","","","Date :","28-Jan-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","30","20","95","75","Several spells of showers"
"Batticaloa","29","25","85","75","Showers or thundershowers at times"
"Colombo","31","24","80","65","Showers or thundershowers after 2.00p.m"
"Galle","28","25","90","80","Showers or thundershowers at times"
"Jaffna","30","24","80","70","Several spells of showers"
"Kandy","27","19","90","75","Showers or thundershowers after 2.00p.m"
"Nuwara-Eliya","17","13","95","70","Showers or thundershowers at times"
"Ratnapura","31","23","95","65","Showers or thundershowers after 2.00p.m"
"Trincomalee","28","25","80","70","Several spells of showers"
"Mannar","29","25","90","75","Several spells of showers"
