"","","Islandwide Water Level & Rainfall Situation in Major Rivers","","","","","","","",""
"DATE :
3-Jun-2024","","","","","","","TIME :","9:30 PM","",""
"","","Gauging Station","","","","","","","Water",""
"","","","","","","Water","Water","","","12 Hr RF"
"","","","","Minor","Major","","","","Level",""
"River Basin
Tributory/River","","","Alert","","","Level at","Level at","Remarks","","in mm at"
"","Station","Unit","","Flood","Flood","","","","Rising or",""
"","","","Level","","","8:00 pm","9:00 pm","","","9.00 pm"
"","","","","Level","Level","","","","Falling",""
"Kelani Ganga","N' Street","ft","4.00","5.00","7.00","5.80","5.95","Minor Flood","Rising","-"
"Kelani Ganga","Hanwella","m","7.00","8.00","10.00","8.66","8.60","Minor Flood","Falling","0.0"
"Kelani Ganga","Glencourse","m","15.00","16.50","19.00","14.35","14.25","Normal","","0.0"
"Kelani Ganga","","","","","","","","","",""
"Kelani Ganga","Kitulgala","m","3.00","4.00","6.00","2.04","2.02","Normal","","3.4"
"(RB 01)","","","","","","","","","",""
"Gurugoda Oya","Holombuwa","m","3.00","3.40","5.00","1.64","1.60","Normal","","1.4"
"Seethawaka Ganga","Deraniyagala","m","4.80","5.80","6.40","1.93","1.89","Normal","","0.0"
"Kehelgamu Oya","Norwood","m","1.50","3.00","4.50","0.94","0.94","Normal","","0.5"
"Kalu Ganga","Putupaula","m","3.00","4.00","5.00","5.30","5.32","Major Flood","Rising","0.0"
"Kalu Ganga","Ellagawa","m","10.00","10.70","12.20","12.80","12.79","Major Flood","Falling","1.6"
"Kalu Ganga","","","","","","","","","",""
"Kalu Ganga","Ratnapura","m","5.20","7.50","9.50","7.95","7.89","Minor Flood","Falling","0.0"
"(RB 03)","","","","","","","","","",""
"Maguru Ganga","Magura","m","4.00","6.00","7.50","5.90","5.82","Alert","Falling","0.0"
"","Kalawellawa","","","","","","","","",""
"Kuda Ganga","","m","5.00","6.50","8.00","11.26","11.26","Major Flood","","0.0"
"","(Millakanda)","","","","","","","","",""
"Gin Ganga","Baddegama","m","3.50","4.00","5.00","5.10","5.13","Major Flood","Rising","0.0"
"Gin Ganga","","","","","","","","","",""
"(RB 09)","","","","","","","","","",""
"Gin Ganga","Tawalama","m","4.00","6.00","7.50","4.49","4.20","Alert","Falling","0.0"
"Nilwala Ganga","Thalgahagoda","m","1.40","1.70","2.80","3.50","3.50","Major Flood","","0.6"
"Nilwala Ganga","Panadugama","m","5.00","6.00","7.50","NA","NA","-","-","-"
"Nilwala Ganga","","","","","","","","","",""
"(RB 12)","","","","","","","","","",""
"Nilwala Ganga","Pitabeddara","m","4.00","5.00","6.50","2.51","2.47","Normal","","4.3"
"Urubokka Ganga","Urawa","m","2.50","4.00","6.00","1.25","1.21","Normal","","0.9"
"Walawe Ganga","","","","","","","","","",""
"Walawe Ganga","Moraketiya","m","3.00","5.00","7.00","1.50","1.45","Normal","","0.0"
"(RB 18)","","","","","","","","","",""
"Kirindi Oya","Tanamalwila","m","4.00","5.00","5.50","0.47","0.47","Normal","","0.0"
"Kirindi Oya","","","","","","","","","",""
"Kirindi Oya","Wellawaya","m","4.40","5.40","5.90","0.74","0.74","Normal","","0.0"
"(RB 22)","","","","","","","","","",""
"Kuda Oya","Kuda Oya","m","6.90","8.40","8.80","1.29","1.29","Normal","","0.0"
"Menik Ganga","","","","","","","","","",""
"Menik Ganga","Katharagama","m","4.00","4.60","6.50","-0.28","-0.28","Normal","","0.0"
"(RB 26)","","","","","","","","","",""
"Kumbukkan Oya","","","","","","","","","",""
"Kumbukkan Oya","Nakkala","m","5.00","6.00","7.50","0.86","0.86","Normal","","0.0"
"(RB 31)","","","","","","","","","",""
"Heda Oya","","","","","","","","","",""
"Heda Oya","Siyambalanduwa","m","4.50","6.00","7.00","0.44","0.44","Normal","","0.0"
"(RB 36)","","","","","","","","","",""
"Maduru Oya","","","","","","","","","",""
"Maduru Oya","Padiyatalawa","m","4.00","4.50","6.00","0.42","0.48","Normal","","21.5"
"(RB 54)","","","","","","","","","",""
"Mahaweli Ganga","Manampitiya (HMIS)","m","3.00","4.30","6.00","0.45","0.45","Normal","","0.0"
"Mahaweli Ganga","Weragantota","m","5.00","6.00","8.00","-2.92","-2.93","Normal","","0.0"
"Mahaweli Ganga","","","","","","","","","",""
"Mahaweli Ganga","Peradeniya","m","5.00","7.00","9.00","3.51","3.45","Normal","","0.0"
"(RB 60)","","","","","","","","","",""
"Mahaweli Ganga","Nawalapitiya","m","3.50","5.00","6.00","1.70","1.69","Normal","","0.0"
"Badulu Oya","Taldena","m","3.00","4.00","5.00","0.40","0.39","Normal","","0.0"
"Yan Oya","","","","","","","","","",""
"Yan Oya","Horowpatana","m","6.00","7.50","10.50","1.52","1.52","Normal","","0.0"
"(RB 67)","","","","","","","","","",""
"Maa Oya (RB 69)  Mukunu Oya","Yakawewa","m","4.00","5.00","6.00","0.54","0.54","Normal","","0.0"
"Malwathu Oya","","","","","","","","","",""
"Malwathu Oya","Tantirimale","m","5.00","6.80","7.80","1.20","1.20","Normal","","0.0"
"(RB 90)","","","","","","","","","",""
"Deduru Oya","","","","","","","","","",""
"Deduru Oya","Moragaswewa","m","4.75","6.00","7.00","1.42","1.53","Normal","","1.3"
"(RB 99)","","","","","","","","","",""
"Maha Oya","Badalgama","m","5.00","6.20","9.60","5.54","5.40","Alert","Falling","0.7"
