"","","","","Date :","9-Mar-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","36","24","90","45","Mainly fair"
"Batticaloa","32","24","95","70","Mainly fair"
"Colombo","33","26","85","55","Showers or thundershowers are likely after 4.00p.m"
"Galle","32","26","90","65","Showers or thundershowers are likely after 2.00p.m"
"Jaffna","33","24","95","55","Mainly fair"
"Kandy","33","21","90","55","Mainly fair"
"Nuwara-Eliya","21","10","90","40","Mainly fair"
"Ratnapura","36","24","95","50","Showers or thundershowers are likely after 2.00p.m"
"Trincomalee","33","24","95","60","Mainly fair"
"Mannar","33","24","90","55","Mainly fair"
