"","Weather Forecast for Main Cities","","","","2024-07-31"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","33","26","85","60","Mainly fair"
"Batticaloa","37","27","75","40","Showers or thundershowers are likely after 2.00p.m"
"Colombo","31","26","95","75","Showers at times"
"Galle","30","28","95","85","Showers at times"
"Jaffna","30","28","75","70","Mainly fair"
"Kandy","27","22","95","70","Showers at times"
"Nuwara-Eliya","15","12","95","85","Several spells of showers"
"Ratnapura","30","24","95","70","Showers at times"
"Trincomalee","35","27","90","50","Mainly fair"
"Mannar","30","28","85","70","Mainly fair"
