"","Cutting Failure","","","","","","",""
"දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","442","1822","0","3","0","9","177"
"Laggala","","4","15","","","","","4"
"Dambulla","දැඩි සුලග සහ දැඩි","7","18","","","","","7"
"Naula","වර්ෂාව/fLk;","7","24","","","","","7"
"මාතනල්/khj;jis/","kioAk;","","","","","","",""
"7
Yatawattha","2018.06.07","3","11","","","","","3"
"Matale","fhw;Wk;/Heavy","","","","","","",""
"Pallepola","Rain and High","9","30","","","","1","8"
"Abanganagakorale","Wind","1","5","","","","","1"
