"","උපරිම","අවම","උපරිම","අවම",""
"අනුරාධපුරය","32","24","95","65","වැසි වාර කිහිපයක්"
"මඩකලපුව","31","25","95","80","වැසි වාර කිහිපයක්"
"කකාළඹ","31","24","95","75","සවස 2.00න් පසුව වැසි කහෝ ගිගුරුම් සහිත වැසි ඇති කේ"
"ගාල්ල","30","25","90","80","සවස 2.00න් පසුව වැසි කහෝ ගිගුරුම් සහිත වැසි ඇති කේ"
"යාපනය","31","25","95","60","වැසි වාර කිහිපයක්"
"මහනුවර","30","22","95","75","සවස 2.00න් පසුව වැසි කහෝ ගිගුරුම් සහිත වැසි ඇති කේ"
"නුවරඑළිය","22","13","95","70","සවස 2.00න් පසුව වැසි කහෝ ගිගුරුම් සහිත වැසි ඇති කේ"
"රත්නපුරය","33","23","95","80","සවස 2.00න් පසුව වැසි කහෝ ගිගුරුම් සහිත වැසි ඇති කේ"
"ත්‍රිකුණාමලය","30","24","95","70","වැසි වාර කිහිපයක්"
"මන්නාරම","31","26","95","70","සවස 2.00න් පසුව වැසි කහෝ ගිගුරුම් සහිත වැසි ඇති කේ"
