"Koralaipattu North","1948","6204","","","","","","","","","",""
"Koralaipattu west","125","432","","","","","","","","","",""
"Koralaipattu Central","548","1916","","","","","","","","","",""
"මඩක඼පුල","","","","","","","","","","","",""
"Koralaipattu South","1846","6135","","","","","","","","","",""
"19
Drought
kl;lf;fsg;G","2019.04.17","","","","","","","","","","",""
"Eravur Pattu
Batticaloa","3920","13595","","","","","","","","","",""
"Manmunai West","4183","14334","","","","","","","","","",""
"Manmunai South West","3951","12267","","","","","","","","","",""
"Poratheevupattu","5992","19552","","","","","","","","","",""
"දිස්ත්‍රික් එකතුල    khtl;l $l;Lj;njhif  District Total","22513","74435","0","0","0","0","0","0","0","0","0","0"
"පළාත් ඵකතුල khfhz $l;Lj;njhif Province Total","36517","152548","0","0","0","2","10","0","0","0","0","0"
"Buttala
Drought","2019.04.08
340","1530","","","","","","","","","",""
"Lighting","1","5","1","","","","","","","","",""
"ලමොනර෈ග඼ 
Siyabalanduwa","","","","","","","","","","","",""
"20
nkhdwhfiy","26","116","","","","3","24","","","","",""
"ඌල","","","","","","","","","","","",""
"","2019.06.24","","","","","","","","","","",""
"Moneragala
High Wind &","","","","","","","","","","","",""
"Cth khfhzk 
Bibila","2","9","","","","","2","","","","",""
"Heavy Rain
Uva","","","","","","","","","","","",""
"Badalkumbura","2","8","","","","","2","","","","",""
"Madulla","3","16","","","","","3","","","","",""
"දිස්ත්‍රික් එකතුල    khtl;l $l;Lj;njhif  District Total","374","1684","1","0","0","3","31","0","0","0","0","0"
"පළාත් ඵකතුල khfhz $l;Lj;njhif Province Total","374","1684","1","0","0","3","31","0","0","0","0","0"
"මුළු එකතුල   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","122522","445863","6","2","2","37","142","6","1","6","66","261"
"","","","ර෈ජක෈රි භ෈ර නිළධ෈රි / flik mjpfhhp / Duty Officer : 011 2670002","","","","","","","","",""
