"වයඹ පලාත","","පුත්තලම    
Mundalama","Lighting","1","5","","","","","1","","","","",""
"","7","Gj;jsk;","2018.12.22","","","","","","","","","","","",""
"tlNky;","","","","","","","","","","","","","","",""
"","","Kalpitiya","Flash Flood","11","47","","","","","","","","","",""
"","","Puttalam","","","","","","","","","","","","",""
"khfhzk;","","","","","","","","","","","","","","",""
"North","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","12","52","0","0","0","0","1","0","0","0","0","0"
"Western","","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","12","52","0","0","0","0","1","0","0","0","0","0"
"","","katana","2018.12.24","46","185","","","","","46","","","","",""
"","","","දැඩි සුලග /fLk;","","","","","","","","","","","",""
"Western/","","Aththanagalla
ගම්පහ       fk;g`h","2018.12.25","4","20","","","","","4","","","","",""
"","8","","kioAk; ;/High","","","","","","","","","","","",""
"Nky;","","Gampaha","","","","","","","","","","","","",""
"","","Negombo","2018.12.24","51","211","","","","","51","","","","",""
"khfhzk;","","","Wind","","","","","","","","","","","",""
"/බස්නාහිර","","meerigama","2018.12.23","1","2","","","","","1","","","","",""
"පලාත","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","102","418","0","0","0","0","102","0","0","0","0","0"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","102","418","0","0","0","0","102","0","0","0","0","0"
"","මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","","30615","96162","2","2","0","110","2645","2","0","30","3022","9455"
"","","","","","","රාජකාරි භාර ිළධ්‍ාරි / flik mjpfhhp / Duty Officer : 011 2670002","","","","","","","","",""
