"මාතවල්","","","","","","","","","","","","","","",""
"6
khj;jis","","High Wind","","","","","","","","","","","","",""
"Matale","","","","","","Page 4","","","","","","","","",""
"10
Ky;iyj;jPT","Maritimepattu","High wind
2020.05.22","","","","","","4","6","","","","","4",""
"Mulaitivu","Puthukudiyiruppu","2020.05.23","","","","","","18","68","","","","","14",""
"","Maritimepattu","","","","","","","6","16","","","","","6",""
"","","2020.05.24","","","","","","","","","","","","",""
"","Oddusudan","","","","","","","13","47","","","","","13",""
"","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","0","0","0","0","0","46","153","0","0","0","0","42","0"
"","Tellippallai","High wind
2020.05.20","","","","","","1","1","","","","","1",""
"","Delft","","","","","","","1","2","","","","","1",""
"","Karainagar","","","","","","","1","3","","","","","1",""
"","Uduvil","","","","","","","2","6","","","","","2",""
"","Chankanai","","","","","","","2","6","","","","","2",""
"","Nallur","","","","","","","2","8","","","","","1",""
"","Marurhankerny","","","","","","","1","1","","","","","1",""
"","Chavakachcheri","High wind
2020.05.21","","","","","","42","128","","","","","3",""
"","Kayts","","","","","","","2","10","","","","","1",""
"","Jaffna","","","","","","","3","9","","","","","3",""
"යාපනය","","","","","","","","","","","","","","",""
"11","Sandilippai","","","","","","","2","7","","","","","2",""
"aho;g;ghzk; Jaffna
උතුරු පලාත","","","","","","","","","","","","","","",""
"","Karaveddy","","","","","","","82","282","","","","","3",""
"tl khfhzk;","","","","","","","","","","","","","","",""
"","Point pedro","","","","","","","19","69","","","","1","16",""
"Northen","","","","","","","","","","","","","","",""
"","Koppay","","","","","","","9","35","","","","","9",""
"","Point Pedro","","","","","","","1","5","","","","","1",""
"","Karainagar","","","","","","","2","4","","","","","2",""
"","Uduvil","","","","","","","2","4","","","","1","1",""
"","","2020.05.22","","","","","","","","","","","","",""
"","Marurhankerny","High wind","","","","","","11","34","","","","","11",""
"","Sandilippai","","","","","","","9","36","","","","","9",""
"","Nllur","","","","","","","2","5","","","","","2",""
"","Sandilippai","2020.05.23","","","","","","3","12","","","","","3",""
"","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","0","0","0","0","0","199","667","0","0","0","2","75","0"
"","Karachchi","","","","","","","7","22","","1","","","6",""
"කිලිවනාච්චිය","","","","","","","","","","","","","","",""
"","Poonakari","High wind
2020.05.20/21","","","","","","7","21","","","","4","1",""
"12
fpspnehr;rp","","","","","","","","","","","","","","",""
"","Kandawalai","","","","","","","26","77","","","","","26",""
"Killinochchi","","","","","","","","","","","","","","",""
"","Pachchilaipalli","High wind
2020.05.22","","","","","","11","31","","","","","8",""
"","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","0","0","0","0","0","51","151","0","1","0","4","41","0"
"ෙව්නනියාෙ","","","","","","","","","","","","","","",""
"13","Vavuniya North","High wind
2020.05.21","","","","","","1","2","","","","","1",""
"tTdpah  Vavuniya","","","","","","","","","","","","","","",""
"","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","0","0","0","0","0","1","2","0","0","0","0","1","0"
