"","","","","","","Page 5","","","","","","","","",""
"","Neluwa
ගාල්ල","","","","","","","21","83","1","2","","","21",""
"14","Flood","2020.05.19","","","","","","","","","","","","",""
"","fhyp       Galle
Thawalama","","","","","","","27","98","","","","","27",""
"","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","0","0","0","0","0","48","181","1","2","0","0","48","0"
"","Walasmulla","","","","","","","21","74","","","","","21",""
"","Beliattaha","","","","","","","10","31","","","","","10",""
"","Thangalle","","","","","","","12","46","","","","","12",""
"","Okewala","","","","","","","9","41","","","","","9",""
"","","Heavy Rain/ High","","","","","","","","","","","","",""
"","Weeraketiya","2020.05.19","","","","","","10","35","","","","","10",""
"","Wind","","","","","","","","","","","","","",""
"","Adunukolapalassa","","","","","","","9","25","","","","","9",""
"","Thissamaharamaya","","","","","","","3","14","","","","","3",""
"","Ambalanthota","","","","","","","3","9","","","","","2",""
"දකුනු පලාත","Katuwana","","","","","","","17","73","","","","","17",""
"njd; khfhzk;","","","","","","","","","","","","","","",""
"","හම්බනවතාට","","","","","","","","","","","","","","one fishermen missing and two"
"Southern","","","","","","","","","","","","","","",""
"15","Drowing
`k;ghe;Njhl;il","2020.05.23","","","","","","","3","","2","1","","","were injuried due to collapsing of a"
"","Hambanotota","","","","","","","","","","","","","",""
"","Hambantota","","","","","","","","","","","","","","fishing boat because of rough sea"
"","","High Wind
2020.05.23","","","","","","1","2","","","","","1",""
"","Lightning
Lunugamwehera","2020.05.24","","","","","","1","4","","","","","1",""
"","Thissamaharamaya","2020.05.25","","","","","","2","7","","","","","2",""
"","Beliattaha","2020.05.21","","","","","","3","10","","","","","3",""
"","","2020.05.21","","","","","","1","4","","","","","1",""
"","Walasmulla","High Wind
2020.05.20","","","","","","1","3","","","","","1",""
"","","2020.05.23","","","","","","2","6","","","","","2",""
"","Suriyawewa","2020.05.22","","","","","","1","4","","","","","1",""
"","Katuwana","2020.05.20","","","","","","8","28","","","","","8",""
"","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","0","0","0","0","0","114","419","0","2","1","0","113","0"
"","Hakmana","","","","","","","10","40","","","","","10",""
"","Kotapola","","","","","","","145","605","","1","","","145",""
"","Pitabeddara","","","","","","","13","48","","","","","13",""
"","Pasgoda","","","","","","","26","100","","","","1","25",""
"","Dikwella","","","","","","","2","7","","","","","2",""
"","Devinuwara
මාතර khj;jiw","2020.05.19
Heavy Rain/ High","","","","","","3","11","","","","","3",""
"16","","","","","","","","","","","","","","",""
"Matara","Wind
Malimbada","","","","","","","1","5","","","","","1",""
"","Mathara","","","","","","","9","34","","","","","9",""
"","Welipitiya","","","","","","","8","38","","","","","8",""
"","Kirinda","","","","","","","6","25","","","","","6",""
"","Kamburupitiya","","","","","","","4","17","","","","","4",""
"","Akuressa","2020.05.20","","","","","","3","12","","","","","3",""
"","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","0","0","0","0","0","230","942","0","1","0","1","229","0"
"","පළාත් ඵකතුෙ khfhz $l;Lj;njhif  Province Total","","0","0","0","0","0","392","1542","1","5","1","1","390","0"
"","Thamankaduwa","2020.05.19-22","","","","","","7","24","","","","","7",""
"","වපාවලානනරුෙ","","","","","","","","","","","","","",""
"උතුරුමැද පලාත       
17","High wind
Higurakgoda
nghyd;dWit","2020.05.23","","","","","","4","13","","","","","3",""
"tlkj;jpa","","","","","","","","","","","","","","",""
"","Polonnaruwa","","","","","","","","","","","","","",""
"khfhzk;","Thamankaduwa","2020.05.24","","","","","","1","3","","","","","1",""
"North Central","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","0","0","0","0","0","12","40","0","0","0","0","11","0"
"","පළාත් ඵකතුෙ khfhz $l;Lj;njhif  Province Total","","0","0","0","0","0","12","40","0","0","0","0","11","0"
"","Town & Gravets
ත්‍රීකුණාමලය","","","","","","","3","9","","","","","3",""
"18
jp.kiy","High wind
Seruwila","2020.05.19-23","","","","","","3","13","","","","","3",""
"නැවගනහිර පලාත","Trincomalee","","","","","","","","","","","","","",""
"","Kantale","","","","","","","2","7","","","","","2",""
"fpof;F      Eastern","","","","","","","","","","","","","","",""
"","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","0","0","0","0","0","8","29","0","0","0","0","8","0"
