"","","","","","","","","","නිවාස්ත්‍ හානි","","","",""
"","","පරිපාලන ප්‍රලද්ශය நிர்வாகப்  பிரிவு","","","බලපෑමට ලක්වු","","","","Nrjkile;j","ලවනත් හානි பிற பாதிப்புகள்","","ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd",""
"","","Administrative purview","","","ghjpf;fg;gl;l    Affected","","","","tPLfs; Houses","Other Damages","","miktplk; Safe Location",""
"","","","","","","","තුවාලවු","අතුරුදහ","Damaged","","","",""
"","","","","ආරම්භක දිනය","","","පුද්ගලයින්","න්වූ","","","","",""
"","","","","mdu;j;jk;","","මිය යෑම්","","පුද්ගලයින්","","","","",""
"","","","ආපදාව","","","","","","","කුඩා හා මධය","","","ලවනත් කරුණු"
"පළාත khfhzk;","","","","","","kuzq;f","fhakil","fhzhky;","","ඉතා වැදගත් යටිතල 
පරිමාණ වයාපාරික","","ආරක්ිත",""
"","#","","mdHj;jk","Muk;gpj;j jpfjp","","","","","","","","","NtW Fwpg;Gf;fs;"
"","","","","","","s;","e;NjhH","NghNdhH","","පහසුකම් වලට වූ","","ස්ත්‍
රථාන  
පවුේ",""
"Province","","","","","","","","","පූර්ණ","ස්ත්‍
රථාන சிறிய,","","","Remarks"
"","","දිස්ත්‍රික්කය  
ප්‍රා.ලේ. ලකා","Disaster","Date of","පවුේ ස්ත්‍ංඛ්‍යාව 
පුද්ගලයින්","Deaths","","","අර්ධ හානි","හානි mbg;gilf; 
நடுத்தர,","","ස්ත්‍ංඛ්‍යාව 
පුද්ගලයින් 
ස්ත්‍ංඛ්‍යාව",""
"","","","","","","","","","හානි","","","",""
"","","மாவட்டம்","","commenced","","","Injured","Missing","gFjpasT","நிறுவனங் களி
fl;likg;Gf;fs;","","vz;zpf;i
egHfs;",""
"","","gpuNjr nra.gp     DS","","","FLk;gq;fs; 
egHfs;","","","","","","","FLk;gq;f",""
"","","","","","","","People","People","KOik","ன
்  சேதங் கள்","","",""
"","","","","","Families
People","","","","Partially","Damages to","","s; 
Persons
f   No.",""
"","","District
Division","","","","","","","Fully","Small, Medium,","","",""
"","","","","","","","","","","critical","","Families
of Safety",""
"","","","","","","","","","","Enterprises 
Infrastructure","","Locations",""
"","","","","","","","","","","Damages","","",""
"","","Naththandiya","","","82
262","","","","15","1","","",""
"","","පුත්තලම","","","","","","","","","","",""
"","","","","2024.10.22","","","","","","","","",""
"ෙයඹ පලාත","1","Gj;jsk;   
Wennappuwa","Flash Flood","","44
139","","","","","","","",""
"tlNky;","","Puttalam","","","","","","","","","","",""
"","","Arachchikattuwa","","2024.10.24","15
43","","","","","","","",""
"khfhzk;","","","","","","","","","","","","",""
"North Western","","දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total","","","141
444","0","0","0","0
15","1","0","0
0","0"
"","","පළාත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total","","","141
444","0","0","0","0
15","1","0","0
0","0"
"","","","Flash Flood/Tree","","","","","","","","","",""
"","","Mawanella
කෑගල්ල   Nffhiy","","","16
64","","","","16","","","",""
"","2","","Fallan","2024.10.31","","","","","","","","",""
"","","Kegalle","","","","","","","","","","",""
"","","Dehiowita","Tree Fallan","","2
6","","","","2","","","",""
"සබරගමුෙ පලාත","","දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total","","","18
70","0","0","0","0
18","0","0","0
0","0"
"rg;ufKt","","රත්නපුර 
Weligepola","","","1
4","","","","","","","",""
"Sabaragamuwa","3",",uj;jpdGhp","Cutting Failure","2024.10.31","","","","","","","","",""
"","","Kalawana","","","1
4","","","","1","","","",""
"","","Rathnapura","","","","","","","","","","",""
"","","දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total","","","2
8","0","0","0","0
1","0","0","0
0","0"
"","","පළාත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total","","","20
78","0","0","0","0
19","0","0","0
0","0"
"","","Haldunmulla","High Wind","2024.10.08","1
4","","","","1","","","",""
"","","Haliela","Heavy Rain","2024.10.22-31","5
18","","","","5","","","",""
"","","Uwaparanagama","High Wind/Rain","2024.10.23","1
4","","","","1","","","",""
"","","බදුල්ල","","","","","","","","","","",""
"","4","gJs;is","","","","","","","","","","",""
"ඌෙ","","Mahiyanganaya","Heavy Rain/Lightning","2024.10.22/23","3
10","","","","3","","","",""
"","","Badulla","","","","","","","","","","",""
"Cth khfhzk;","","","","","","","","","","","","",""
"","","Badulla","Heavy Rain/Lightning","2024.10.30","1
5","","","","1","","","",""
"Uva","","","","","","","","","","","","",""
"","","Passara","Lightning","2024.10.26-31","3
16","1","1","","2","","","",""
"","","Meegahakiwula","High Wind","2024.10.31","2
4","","","","2","","","",""
"","","දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total","","","16
61","1","1","0","0
15","0","0","0
0","0"
"","","පළාත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total","","","16
61","1","1","0","0
15","0","0","0
0","0"
"","මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","","","177
583","1","1","0","0
49","1","0","0
0","0"
