"","ගාල්ල","Nagoda","Tree Fallen","2023.09.02","1","2","","","","","","1","","","","",""
"","1
fhyp","Imaduwa","Tree Fallen","2023.09.03","1","5","","","","","","1","","","","",""
"දකුනු පලාත","","","","","","","","","","","","","","","","",""
"","Galle","Akmeemana","Tree Fallen","2023.09.03","1","3","","","","","","1","","","","",""
"njd; khfhzk;","","","","","","","","","","","","","","","","",""
"","","Madampagama","Wind","2023.09.03","1","1","","","","","","1","","","","",""
"Southern","","","","","","","","","","","","","","","","",""
"","","Habaraduwa","High Wind","2023.09.01","2","8","","","","","","2","","","","",""
"","","දිස්ික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","8","25","","0","0","0","0","8","0","0","0","0","0"
"","","පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","","8","25","","0","0","0","0","8","0","0","0","0","0"
"","","Horana","High wind","2023.09.02/03","5","23","","","","","","5","","","","",""
"","","Bandaragama","High wind","2023.09.02/03","4","14","","","1","","","4","","","","",""
"","","Mathugama","High wind / Lightning","2023.09.02","5","13","","","","","","5","","","","",""
"","","Kalutara","High wind","2023.09.03","4","13","","","","","","4","","","","",""
"","","Beruwala","High wind","2023.09.03","1","4","","","","","","1","","","","",""
"","කළුතර   fSj;Jiw","","","","","","","","","","","","","","","",""
"","2","Madurawala","Heavy Rain","2023.09.03","","","","","","","","","1","","","",""
"","Kalutara","","","","","","","","","","","","","","","",""
"","","Palindanuwara","High wind","2023.09.03","1","5","","","","","","1","","","","",""
"","","Panadura","Heavy Rain","2023.09.04","1","4","","","","","","1","","","","",""
"","","Dodangoda","Heavy Rain","2023.09.04","4","15","","","","","","","","","","",""
"","","Walallavita","High wind / Heavy rain 2023.09.04","","3","9","","","","","","","","","","",""
"","","දිස්ික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","28","100","","0","1","0","0","21","1","0","0","0","0"
"","","Moratuwa","","","9","37","","","","","","7","1","","","",""
"","","","","2023.09.03","","","","","","","","","","","","",""
"","","Ratmalana","","","1","4","","","","","","1","","","","",""
"","","Homagama","","2023.09.04","4","17","","","","","","3","","","","",""
"","","Padukka","","2023.09.04","3","13","","","","","","3","","","","",""
"","කකාළඹ   nfhOk;G","","Heavy Rain & High","2023.09.04","2","6","","","","","","2","","","","",""
"","","Kesbewa","","","","","","","","","","","","","","",""
"Western","Colombo
3","","Wind","","10","47","","","","","","10","1","","","",""
"","","","","2023.09.03","","","","","","","","","","","","",""
"Nky; khfhzk;","","Kolonnawa","","","1173","4185","","","","","","","","","","",""
"බස්නාහිර පලාත","","Dehiwala","","2023.09.01/03","3","10","","","","","","3","","","","",""
"","","Kaduwela","","","2","9","","","","","","2","","","","",""
"","","","","2023.09.03","1","6","","","","","","1","","","","",""
"","","Seetawaka","","","","","","","","","","","","","","",""
"","","","Fire","","1","3","","","","","","1","","","","",""
"","","දිස්ික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","1209","4337","","0","0","0","0","33","2","0","0","0","0"
