"","","","Relative","Humidity",""
"","","Temperature (0C)","","",""
"City","","","(%)","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","30","25","95","70","Showers or thundershowers at times"
"Batticaloa","30","25","95","75","Showers or thundershowers at times"
"Colombo","33","25","90","55","Showers or thundershowers are likely after 2.00p.m"
"Galle","30","25","95","80","Showers or thundershowers"
"Jaffna","29","24","90","70","Showers or thundershowers at times"
"Kandy","29","22","95","65","Showers or thundershowers"
"Nuwara-Eliya","18","13","95","75","Showers or thundershowers at times"
"Ratnapura","33","23","95","65","Showers or thundershowers after 2.00p.m"
"Trincomalee","29","25","95","75","Showers or thundershowers at times"
"Mannar","30","25","90","75","Several spells of showers"
