"","","","","","","","","","","","","","","","Families",""
"","","","","","","","","","","","y","Enterprises","critical","","",""
"","","","","","","","","","","","","","","Locations","",""
"","","","","","","","","","","","","Damages","Infrastructure","","",""
"","බදුල්ල","","Tree Fallen","2020.07.09/11","2","5","","","","","2","","","","",""
"","1
gJs;is","Passara","","","","","","","","","","","","","",""
"","Badulla","","Wind & Rain","2020.07.11","1","3","","","","","1","","","","",""
"ඌව","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","3","8","0","0","0","0","3","0","0","0","0","0"
"Cth khfhzk;","ම ොනරොගල","","","","","","","","","","","","","","",""
"Uva","2
nkhdwhfiy","Buttala","Elephant Attack","2020.07.17","","","3","","","","","","","","",""
"","Moneragala","","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","0","0","3","0","0","0","0","0","0","0","0","0"
"","පළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","","3","8","3","0","0","0","3","0","0","0","0","0"
"","","Thumpane","High wind","2020.07.11","1","1","","","","","1","","","","",""
"","","Minipe","High wind","2020.07.10","1","5","","","","","1","","","","",""
"","","Kundasale","Lightning","2020.07.09","1","5","","","","","1","","","","",""
"","","","","2020.07.13","1","5","","","","","1","","","","",""
"","","Pasbage Korale","Heavy Rain","","","","","","","","","","","","",""
"","","","","2020.07.16","2","7","","","","","2","","","","",""
"","","","","2020.07.13","1","5","","","","","1","","","","",""
"","","Hatharaliyadda","","","","","","","","","","","","","",""
"","නුවර/fz;b","","High wind","2020.07.17","1","1","","","","","1","","","","",""
"ධ්‍ය","3","","","","","","","","","","","","","","",""
"","/Kandy","Medadumbara","","2020.07.13","1","4","","","","","1","","","","",""
"පලොත/kj;jpa","","","","","","","","","","","","","","","",""
"","","","","2020.07.14","1","1","","","","","1","","","","",""
"khfhzk;/ Central","","Udapalatha","Heavy Rain","","","","","","","","","","","","",""
"","","","","2020.07.16","1","6","","","","","1","","","","",""
"","","Akurana","","2020.07.16","1","3","","","","1","","","","","",""
"","","Ududumbara","","2020.07.16","1","1","","","","","1","","","","",""
"","","","High wind","","","","","","","","","","","","",""
"","","Poojapitiya","","2020.07.16","1","4","","","","","1","","","","",""
"","","Yatinuwara","","2020.07.17","1","5","","","","","1","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","15","53","0","0","0","1","14","0","0","0","0","0"
"","පළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","","15","53","0","0","0","1","14","0","0","0","0","0"
"","කළුතර","","","","","","","","","","","","","","",""
"Western/ Nky;","4
fSj;Jiw","Beruwala","Drowning","2020.07.13","1","3","2","1","","","","","","","",""
"khfhzk;බස්ත්‍රනොහිර","Kalutara","","","","","","","","","","","","","","",""
"පලොත","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","1","3","2","1","0","0","0","0","0","0","0","0"
"","පළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","","1","3","2","1","0","0","0","0","0","0","0","0"
"","","Damana","","2020.07.13","1","2","","","","","1","","","","",""
"","අම්පොර","Lahugala","","2020.07.13","1","4","","","","","1","","","","",""
"නැමගනහිර","5
mk;ghiw","","High wind","2020.07.13","1","2","","","","","1","","","","",""
"","","Mahaoya","","","","","","","","","","","","","",""
"","Ampara","","","","","","","","","","","","","","",""
"පලොත/fpof;F/Easte","","","","2020.07.16","1","3","","","","","1","","","","",""
"rn/","","","","","","","","","","","","","","","",""
"","","Ampara","","2020.07.15","2","9","","","","","2","","","","",""
"","","","","","6","20","0","0","0","0","6","0","0","0","0","0"
"","පළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","","6","20","0","0","0","0","6","0","0","0","0","0"
"","හම්බනමතොට","","","","","","","","","","","","","","",""
"දකුනු පලොත/njd;","6
`k;ghe;Njhl;il","Beliatta","Fire","2020.07.14","1","3","","","","","","1","","","",""
"khfhzk;/","Hambantota","","","","","","","","","","","","","","",""
"Southern","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","1","3","0","0","0","0","0","1","0","0","0","0"
