"","","","","","","","","","","","","","","","",""
"","මන්නාරම    
10","Madu","Flood","2018.10.07","56","184","","","","","","","","1","56","184 Safe Location -"
"","kd;dhH  Mannar","","","","","","","","","","","","","","","Divisional Secatariat"
"උතුරු","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","56","184","0","0","0","0","0","0","0","1","56","184"
"පලාත/tl","","","","","","","","","","","","","","","",""
"","වව්නියාව","Vavuniya","Drowning","2018.10.19","1","1","","","","","","","","","",""
"khfhzk;/","11","","","","","","","","","","","","","","",""
"","tTdpah","","","","","","","","","","","","","","",""
"Northen/","","","","","","","","","","","","","","","",""
"","Vavuniya","Vengalacheddikulam","High Wind","2018.10.21","1","3","","","","","1","","","","",""
"","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","2","4","0","0","0","0","1","0","0","0","0","0"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","58","188","0","0","0","0","1","0","0","1","56","184"
"","","Mahawewa","High Wind","2018.10.22","1","4","","","","","","","","","",""
"","පුත්තලම Gj;jsk;","","","","","","","","","","","","","","",""
"","12","","","","","","","","","","","","","","",""
"","Puttalam","","","","","","","","","","","","","","",""
"","","Arachchikattuwa","Lightning","2018.10.22","2","11","","","","","2","","","","",""
"","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","3","15","0","0","0","0","2","0","0","0","0","0"
"","","Kobeigane","Lightning","2018.10.17","1","4","","","","1","","","","","",""
"වයඹ පලාත","","","","","","","","","","","","","","","",""
"","","Mawathagama","Fire","2018.10.22","1","3","","","","1","","","","","",""
"tlNky;","","","","","","","","","","","","","","","",""
"khfhzk;","","Kurunegala","Heavy Rain","2018.10.21","3","2","","","","2","1","","","","",""
"","කුරුණෑෙල","","","","","","","","","","","","","","",""
"North","13
FUdhfy;","Kotawehera","High Wind","2018.10.24","2","7","","","","2","","","","","",""
"Western","Kurunegala","","","","","","","","","","","","","","",""
"","","Bamunakotuwa","High Wind","2018.10.23","2","10","","","","2","","","","","",""
"","","Mallawapitiya","Heavy Rain","2018.10.10","1","5","","","","1","","","","","",""
"","","Panduwasnuwara - west","Heavy Rain","2018.10.21","2","6","","","","2","","","","","",""
"","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","12","37","0","0","0","11","1","0","0","0","0","0"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","15","52","0","0","0","11","3","0","0","0","0","0"
"","මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","","","4703","18177","1","2","0","35","1065","406","9","6","113","386"
