"දිනය/යේලාව)","ස
්ථානය","උපරිම සුළයේ යේගය (පැයට කි. මි.)","කැළඹිලි ස්වභාවය"
"(ශ්‍රී ලංකා පැය)","(උතුරු අක්ාංශ oN","",""
"","නැයගනහි","",""
"","යද්ශාංශ  oE)","",""
"04.12.23/1130","13.7/80.9","85-95, විටින් විට 105 දක්වා","චණ්ඩ සුළි කුණාටුවක්"
"04.12.23/1730","14.2/80.6","90-100, විටින් විට 110 දක්වා","චණ්ඩ සුළි කුණාටුවක්"
"04.12.23/2330","14.7/80.5","95-105, විටින් විට 115 දක්වා","චණ්ඩ සුළි කුණාටුවක්"
"05.12.23/0530","15.4/80.4","90-100, විටින් විට 110 දක්වා","චණ්ඩ සුළි කුණාටුවක්"
"05.12.23/1730","16.3/80.6","70-80, විටින් විට 90 දක්වා","සුළි කුණාටුවක්"
"06.12.23/0530","17.1/81.1","50-60, විටින් විට 70 දක්වා","ගැඹුරු පීඩන අවපාතයක්"
"06.12.23/1730","17.8/81.8","35-45, විටින් විට 55 දක්වා","පීඩන අවපාතයක්"
