"","Weather Forecast for Main Cities","","","","29-Dec-2023"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","32","24","95","75","Several spells of showers"
"Batticaloa","31","25","95","85","Showers or thundershowers at times"
"Colombo","30","25","90","60","Showers or thundershowers after 2.00p.m"
"Galle","30","25","95","75","Showers or thundershowers"
"Jaffna","31","24","90","70","A few showers"
"Kandy","30","22","95","75","Several spells of light showers"
"Nuwara-Eliya","20","13","95","75","Several spells of showers"
"Ratnapura","32","23","95","65","Showers or thundershowers after 2.00p.m"
"Trincomalee","32","24","95","75","Showers or thundershowers at times"
"Mannar","31","25","90","75","A few showers"
