"","Weather Forecast for Main Cities","","","","4-Feb-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","31","24","90","60","Several spells of showers"
"Batticaloa","29","25","95","80","Showers at times"
"Colombo","31","25","90","65","Showers or thundershowers after 2.00p.m"
"Galle","30","25","85","70","Showers or thundershowers after 2.00p.m"
"Jaffna","31","24","95","70","A few showers"
"Kandy","30","20","90","60","Showers or thundershowers after 2.00p.m"
"Nuwara-Eliya","20","12","95","60","Showers or thundershowers after 2.00p.m"
"Ratnapura","33","23","95","60","Showers or thundershowers after 2.00p.m"
"Trincomalee","30","25","90","75","Showers at times"
"Mannar","30","26","95","75","A few showers"
