"","Weather Forecast for Main Cities","","","","11-Apr-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","25","95","45","Showers or thundershowers after 2.00p.m"
"Batticaloa","30","26","95","70","Showers at times"
"Colombo","33","27","90","60","Showers or thundershowers after 2.00p.m"
"Galle","32","26","85","50","Showers or thundershowers after 2.00p.m"
"Jaffna","34","25","95","50","A few showers"
"Kandy","34","22","95","40","Showers or thundershowers after 2.00p.m"
"Nuwara-Eliya","23","13","80","40","Showers or thundershowers after 2.00p.m"
"Ratnapura","34","24","95","50","Showers or thundershowers after 2.00p.m"
"Trincomalee","33","25","95","65","Showers at times"
"Mannar","32","27","95","55","Showers or thundershowers after 2.00p.m"
