"","Weather Forecast for Main Cities","","","","6-Sep-2023"
"","","Temperature (0C)","Relative Humidity (%)","",""
"City","","","","",""
"","Max","Min","Max","Min",""
"Anuradhapura","33","25","90","55","Mainly fair"
"Batticaloa","34","26","80","50","Mainly fair"
"Colombo","31","25","90","75","Several spells of showers"
"Galle","29","25","90","80","Several spells of showers"
"Jaffna","33","28","85","65","Mainly fair"
"Kandy","28","23","95","70","Several spells of showers"
"Nuwara-Eliya","17","14","95","90","Several spells of showers"
"Ratnapura","30","23","95","75","Several spells of showers"
"Trincomalee","34","25","80","50","Mainly fair"
"Mannar","32","27","85","70","A few showers"
