"","Weather Forecast for Main Cities","","","","20-Apr-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","36","25","90","45","Showers or thundershowers are likely after 2.00p.m"
"Batticaloa","33","27","90","70","Mainly fair"
"Colombo","33","26","90","65","Showers or thundershowers are likely after 2.00p.m"
"Galle","32","26","95","70","Showers or thundershowers are likely after 2.00p.m"
"Jaffna","34","27","90","65","Mainly fair"
"Kandy","34","21","95","55","Showers or thundershowers are likely after 2.00p.m"
"Nuwara-Eliya","23","11","95","65","Mainly fair"
"Ratnapura","35","24","95","60","Showers or thundershowers after 2.00p.m"
"Trincomalee","34","26","90","65","Mainly fair"
"Mannar","34","27","90","65","Showers or thundershowers are likely after 2.00p.m"
