"Administrative purview","","","ghjpf;fg;gl;l    Affected","","","","tPLfs; Houses","","Other Damages","","miktplk; Safe Location",""
"","","","","","තුවාලවු","අතුරුදහ","","","","","",""
"","","","","","","","Damaged","","","","",""
"","","ආරම්භක දිනය","","","පුද්ගලයින්","න්වූ","","","","","",""
"","","mdu;j;jk;","","මිය යෑම්","","පුද්ගලයින්","","","කුඩා හා මධය","","",""
"","ආපදාව","","","","","","","","","","","ලවනත් කරුණු"
"පළාත khfhzk;","","","","kuzq;f","fhakil","fhzhky;","","","පරිමාණ වයාපාරික","ඉතා වැදගත් යටිතල","ආරක්ිත",""
"#","mdHj;jk","Muk;gpj;j jpfjp","","","","","","","","","","NtW Fwpg;Gf;fs;"
"","","","","s;","e;NjhH","NghNdhH","","","","පහසුකම් වලට වූ","ස්ත්‍
රථාන  
පවුේ",""
"Province","","","","","","","පූර්ණ","","ස්ත්‍
රථාන சிறிய,","","","Remarks"
"ප්‍රා.ලේ. ලකා","Disaster","Date of","පවුේ ස්ත්‍ංඛ්‍යාව 
පුද්ගලයින්","Deaths","","","","අර්ධ හානි","நடுத்தர,","හානි mbg;gilf;","ස්ත්‍ංඛ්‍යාව 
පුද්ගලයින් 
ස්ත්‍ංඛ්‍යාව",""
"දිස්ත්‍රික්කය","","","","","","","හානි","","நிறுவனங்களின்","","",""
"","","commenced","","","Injured","Missing","","gFjpasT","","fl;likg;Gf;fs;","vz;zpf;i
egHfs;",""
"gpuNjr nra.gp     DS","","","FLk;gq;fs; 
egHfs;","","","","","","","","FLk;gq;f",""
"மாவட்டம் District","","","","","People","People","KOik","","சேதங்கள்; Small,","","",""
"","","","Families
People","","","","","Partially","","Damages to","s; 
Persons
f   No.",""
"Division","","","","","","","Fully","","","","",""
"","","","","","","","","","Medium, 
critical","","Families
of Safety",""
"","","","","","","","","","Enterprises","Infrastructure","Locations",""
"","","","","","","","","","Damages","","",""
"Elapatha","","2024.06.01-02","1655
5956","1","","","1","27","4","","2
9","43"
"Nivithagala","","2024.06.01-03","94
323","","","","","92","11","","",""
"Ayagama","","2024.06.01-02","3756
14959","2","","","6","159","43","3","1
2","9"
"Pelmadulla","","2024.06.01-02","110
432","1","","","","98","6","","",""
"1
Ehaliyagoda","","2024.06.01-02","2137
8247","1","3","","2","711","85","","5
49","140"
"Rathnapura","","2024.06.01-02","3116
11615","","1","","","151","8","","1
1","4"
"Kuruvita","","2024.06.01-02","1225
5059","","","","4","193","38","","",""
"රත්නපුර","Heavy Rain/ High","","","","","","","","","","",""
",uj;jpdGhp  
Kalawana","wind/ Flood/ Cutting","2024.06.01-02","390
1367","","","","","374","30","1","",""
"Rathnapura","faliture/Landslide Risk","","","","","","","","","","",""
"Kiriella","","2024.06.01-02","2145
7999","","","","1","18","59","","",""
"Kolonna","","2024.06.01-02","2
5","","","","","2","1","","",""
"Balangoda","","2024.06.01-02","6
23","","","","","4","","","",""
"Opanayake","","2024.06.01-02","2
7","","","","","2","","","",""
"Weligepola","","2024.06.01-02","2
10","","","","","2","","","",""
"Imbulpe","","2024.06.02","5
17","","","","","2","","","",""
"Kahawatta","","2024.06.02","9
28","","","","","8","1","","",""
"දිසරික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","14654
56047","5","4","0","14","1843","286","4","9
61","196"
"","Cutting Failure","2024.06.02","2
7","","","","","2","","","",""
"","Cutting Failure","2024.06.03","4
15","","","","","4","","","",""
"Warakapola","Heavy Rain / Cutting","","","","","","","","","","",""
"","","","","","","","","","","","","Injured due to Cutting"
"","Failure / Tree Fallen /","2024.06.02","26
88","","4","","","25","10","","",""
"","","","","","","","","","","","","Failure"
"","High wind","","","","","","","","","","",""
"","Flood","2024.06.02","1
4","","","","","1","","","",""
"Mawanella","Cutting failure","2024.06.03","1
8","","","","","1","","","",""
"","Tree Fallen","2024.06.05","1
4","","","","","1","","","",""
"","Heavy rain","2024.06.05","1
4","","","","1","","","","",""
"","Cutting failure","2024.06.02","1
2","","","","","1","","","",""
"","Tree Fallen","2024.06.01","2
8","","","","","2","","","",""
"Yatiyantota","","2024.06.02","1
4","","","","","1","","","",""
"","Cutting Failure","","","","","","","","","","",""
"","","2024.06.03","1
5","","","","","1","","","",""
"සබරගමුව පලාත","","","","","","","","","","","",""
"","Tree fallen","2024.06.02","1
3","","","","","1","","","",""
"Galigamuwa
rg;ufKt","","","","","","","","","","","",""
"","Cutting Failure","2024.06.04","1
3","","","","","1","","","",""
"Sabaragamuwa","","","","","","","","","","","",""
"","Heavy Rain / Cutting","","","","","","","","","","",""
"","Failure / Tree Fallen /","2024.06.01/02","14
49","","3","","","9","","","1
1","6 Injured due to tree fallen"
"","High wind","","","","","","","","","","",""
"Yatiyanthota","Tree Fallen","","1
4","","","","","1","","","",""
"","Cutting Failure","2024.06.01","4
17","","","","","4","","","",""
"","Lightning","","1
4","","","","","1","","","",""
"කෑගල්ල","","","","","","","","","","","",""
"","Tree Fallen","","1
5","","","","","1","","","",""
"2
Nffhiy","","2024.06.04","","","","","","","","","",""
"","Cutting Failure","","1
5","","","","","1","","","",""
"Kegalle","","","","","","","","","","","",""
"","","2024.06.01","1
3","","","","","1","","","",""
"Kegalle","Tree Fallen","","","","","","","","","","",""
"","","2024.06.03","2
5","","","","","2","","","",""
"","Heavy Rain / Cutting","","","","","","","","","","",""
"","Failure / Tree Fallen /","2024.06.02","495
2346","","","","","495","128","","3
67","282"
"","High wind/ Lightning","","","","","","","","","","",""
"Dehiovita","","","","","","","","","","","",""
