"","Weather Forecast for Main Cities","","","Date :","16-Mar-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","24","95","65","Showers or thundershowers after 1.00p.m"
"Batticaloa","29","24","95","75","Showers or thundershowers"
"Colombo","30","24","95","65","Showers or thundershowers after 1.00p.m"
"Galle","32","25","95","70","Showers or thundershowers after 1.00p.m"
"Jaffna","32","22","95","65","Showers or thundershowers are likely after 1.00p.m"
"Kandy","32","21","95","70","Showers or thundershowers after 1.00p.m"
"Nuwara-Eliya","22","11","95","65","Showers or thundershowers"
"Ratnapura","34","23","95","65","Showers or thundershowers after 1.00p.m"
"Trincomalee","31","24","95","70","Showers or thundershowers"
"Mannar","32","25","95","70","Showers or thundershowers after 1.00p.m"
