"දිනය/කේලොව)","ස
්ථොනය","උපරිම සුළකේ කේගය (පැයට කි. මි.)","ැළඹිලි ස්වභොවය"
"(ශ්‍රී ලාං ො පැය)","(උතුරු අක්්ොාංශ oN","",""
"","නැකගනහිර කේශොාංශ  oE)","",""
"07.06.23/1730","13.3/65.9","105-115 විටින් විට 125 දක්වා","චණ්ඩ සුළි කුණාටුවක්"
"07.06.23/2330","13.6/65.9","110-120 විටින් විට 130 දක්වා","චණ්ඩ සුළි කුණාටුවක්"
"08.06.23/1130","14.2/65.8","115-125 විටින් විට 140 දක්වා","ඉතා චණ්ඩ සුළි කුණාටුවක්"
"08.06.23/2330","14.8/65.7","125-135 විටින් විට 150 දක්වා","ඉතා චණ්ඩ සුළි කුණාටුවක්"
"09.06.23/1130","15.5/65.5","135-145 විටින් විට 160 දක්වා","ඉතා චණ්ඩ සුළි කුණාටුවක්"
"09.06.23/2330","16.2/65.4","140-150 විටින් විට 165 දක්වා","ඉතා චණ්ඩ සුළි කුණාටුවක්"
