"","Weather Forecast for Main Cities","","","Date :","26-Mar-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","35","25","95","60","Mainly fair"
"Batticaloa","32","25","90","70","A few showers"
"Colombo","31","25","85","70","Showers or thundershowers after 2.00p.m"
"Galle","31","25","90","75","Showers or thundershowers after 2.00p.m"
"Jaffna","33","23","95","65","Mainly fair"
"Kandy","31","22","95","55","Showers or thundershowers are likely after 2.00p.m"
"Nuwara-Eliya","22","15","90","50","Showers or thundershowers are likely after 2.00p.m"
"Ratnapura","35","24","95","60","Showers or thundershowers after 2.00p.m"
"Trincomalee","32","27","85","70","A few showers"
"Mannar","32","26","85","70","Mainly fair"
