"දිස්ත්‍රික්කය","","","","","","","","","හානි","","","","","",""
"","gpuNjr nra.gp     DS","","","FLk;gq;fs;","egHfs;","","People","People","","gFjpasT","நிறுவனங்களின்","fl;likg;Gf;fs;","vz;zpf;i","FLk;gq;f","egHfs;"
"மாவட்டம் District","","","","","","","","","KOik","","","","","",""
"","","","","Families","People","","","","","Partially","சேதங்கள்; Small,","Damages to","f   No.","s;","Persons"
"","Division","","","","","","","","Fully","","","","","",""
"","","","","","","","","","","","Medium,","critical","of Safety","Families",""
"","","","","","","","","","","","Enterprises","Infrastructure","Locations","",""
"","","","","","","","","","","","Damages","","","",""
"","","","2022.05.30","1","4","","","","","1","","","","",""
"","Kiriella","","","","","","","","","","","","","",""
"","","","2022.05.31","3","6","","","","","1","","","","",""
"","","Heavy","","","","","","","","","","","","",""
"රත්නපුර","","","","","","","","","","","","","","",""
"","Godakawela","rain/Lightning/High","2022.05.30","1","6","","","","","1","","","","",""
"1
,uj;jpdGhp 
ස්ත්‍බරගමුව පලාත","","","","","","","","","","","","","","",""
"","Eheliyagoda","Wind/Cutting Failure","2022.05.30","6","21","","","","","6","","","","",""
"Rathnapura
rg;ufKt","","","","","","","","","","","","","","",""
"","Pelmadulla","/Land Slide Risk","2022.05.29","3","7","","","","","2","","","","",""
"Sabaragamuwa","Rathnapura","","2022.05.31","12","50","","","","","2","","","4","15","61"
"","Elapatha","","2022.05.31","2","10","","","","","2","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","28","104","0","0","0","0","15","0","0","4","15","61"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","28","104","0","0","0","0","15","0","0","4","15","61"
"","Hataraliyadda","","2022.05.29","2","7","","","","","2","","","","",""
"","Pathahewaheta","","2022.05.29","1","7","","","","","1","","","","",""
"නුවර","Patadumbara","","2022.05.26/27","2","9","","","","","2","","","","",""
"මධ්‍යම පලාත","","Heavy rain & High","","","","","","","","","","","","",""
"fz;b       
2","","","","","","","","","","","","","","",""
"","Udunuwara","","2022.05.31","1","4","","","","","1","","","","",""
"kj;jpa","","wind","","","","","","","","","","","","",""
"Kandy","","","","","","","","","","","","","","",""
"","Kundasale","","2022.05.27/30","4","16","","","","","4","","","","",""
"khfhzk;","","","","","","","","","","","","","","",""
"","Harispattuwa","","2022.05.29","1","3","","","","","1","","","","",""
"Central","","","","","","","","","","","","","","",""
"","Gaga Ihalakoralaya","","2022.05.25","1","4","","","","","1","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","12","50","0","0","0","0","12","0","0","0","0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","12","50","0","0","0","0","12","0","0","0","0","0"
"කළුතර","","","","","","","","","","","","","","",""
"3
fSj;Jiw","Mathugama","High wind","2022.05.29","1","1","","","","","1","","","","",""
"Kalutara","","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","1","1","0","0","0","0","1","0","0","0","0","0"
"","Mahara","Flood","2022.05.31","42","177","","","","","2","","","","",""
"","Gampaha","Tree Falen","2022.05.30/31","4","14","","","","","8","","","","",""
"ගම්පහ","","","","","","","","","","","","","","",""
"4","Meerigama","Heavy Rain","2022.05.30","1","1","","","","","1","","","","",""
"බස්ත්‍රනාහිර පලාත    
fk;g`h Gampaha","","","","","","","","","","","","","","",""
"","Minuwangoda","Heavy Rain","2022.05.29","1","4","","","","","1","","","","",""
"Nky; khfhzk;","","","","","","","","","","","","","","",""
"","Dompe","Tree Falen","2022.05.31","1","4","","","","","1","","","","",""
"Western","","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","49","200","0","0","0","0","13","0","0","0","0","0"
"","Jayawardhanapura","Flood","","42","175","","","","","","","","1","42","175"
"කකාළඹ","","","","","","","","","","","","","","",""
"5","","","2022.05.31","","","","","","","","","","","",""
"nfhOk;G Colombo","","","","","","","","","","","","","","",""
"","Moratuwa","High wind","","12","49","","","","","12","3","","","",""
