"","Weather Forecast for Main Cities","","","Date :","23-Jun-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","",""
"","Max","Min","Max","Min",""
"Anuradhapura","32","25","90","65","Mainly fair"
"Batticaloa","33","26","85","65","Mainly fair"
"Colombo","30","27","90","75","Several spells of showers"
"Galle","30","25","95","80","Several spells of showers"
"Jaffna","32","27","85","65","Mainly fair"
"Kandy","28","23","95","75","Several spells of showers"
"Nuwara-Eliya","18","14","95","80","Several spells of showers"
"Ratnapura","32","24","95","75","Several spells of showers"
"Trincomalee","35","26","85","50","Mainly fair"
"Mannar","32","27","90","75","Mainly fair"
