"","khtl;lk ;","","","FLk;gq;f","egHfs;","","","","","","","","","","","","FLk;gq;","egHfs;"
"","nra.gp    DS Division","","","","","","","","KOik","sT","","Kaw;rpfs;","","fl;likg;Gf;fs;","","if","",""
"","District","","","s;","People","","People","g","","","","","","","","","fs;","Persons"
"","","","","","","","","","","Partiall","","Small, Medium,","","Damages to","","Safety","",""
"","","","","","","","","","Fully","","","","","","","","",""
"","","","","Families","","","","People","","","","","","","","","Families",""
"","","","","","","","","","","y","","Enterprises","","critical","","Location","",""
"","","","","","","","","","","","","Damages","","Infastructure","","","",""
"","","","","","","","","","","","","","","","","s","",""
"","Rattota","Rock Fallen","2018.11.09","15","70","","","","","","","","","","","1","12","39 Welangahawatta"
"","මාතවල්","","","","","","","","","","","","","","","","","Temple"
"මධයම පලාත","Dambulla
1
khj;jis","Flood","2018.11.22","13","42","","","","3","","10","","","","","2","13","42"
"kj;jpa","Matale
Vilgamuwa","Flood","2018.11.22","84","298","","","","1","","73","","2","","","1","7","28"
"khfhzk;","","","","","","","","","","","","","","","","","",""
"","Abangagakoralaya","High Wind","2018.11.26","2","8","","","","","","2","","","","","","",""
"Central","","","","","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","114","418","0","0","0","4","","85","","2","","0","4","32","109"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","114","418","0","0","0","4","","85","","2","","0","4","32","109"
"","Negombo","","","65","290","","","","","","","","","","","","",""
"","","Flood","2018.11.28","","","","","","","","","","","","","","",""
"","Katana","","","493","2191","","","","","","","","","","","","",""
"","Ja-ela
ගම්පහ","High Wind","2018.11.29","11","56","","","","","","6","","6","","","","",""
"Western/","","","","","","","","","","","","","","","","","",""
"","2
fk;g`h","","","","","","","","","","","","","","","","",""
"Nky;","","","","","","","","","","","","","","","","","",""
"","Gampaha","Tree Fallen","2018.11.25","1","5","","","","","","1","","","","","","",""
"","Gampaha","","","","","","","","","","","","","","","","",""
"khfhzk/;","","","","","","","","","","","","","","","","","",""
"බස්නාහිර","Meerigama","High Wind","2018.11.24","4","11","","","","1","","3","","","","","","",""
"පලාත","","","","","","","","","","","","","","","","","",""
"","Wattala","Heavy Rain","2018.11.30","13","65","","","","","","13","","","","","","",""
"","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","587","2618","0","0","0","1","","23","","6","","0","0","0","0"
