"","","","","","","","","","","","Enterprises","Infrastructure","Locations","",""
"","","","","","","","","","","","Damages","","","",""
"","","","","","","","","","","","","","","","1. Koslanda watta tea"
"","","","","","","","","","","","","","","","factory 2.Dambethenna"
"","","","","","","","","","","","","","","","3.Poonagala Tea"
"","","Haldumulla","Landslide Risk
2023.10.14-27","","","","","","","","","","5","131","Factory 4.Bathgoda 
427"
"","","","","","","","","","","","","","","","Tamil School"
"","","","","","","","","","","","","","","","5.Haldumulla No 02"
"","","","","","","","","","","","","","","","Tamil Collage"
"","බදුල්ල","","","","","","","","","","","","","",""
"","1
gJs;is","Bandarawela","Cutting Faliure
2023.10.14-11.16","","","","","","","","","","1","3","7 Udaperuwa Muslim"
"ඌව","","","","","","","","","","","","","","","Mosque"
"","Badulla","","","","","","","","","","","","","",""
"Cth khfhzk;","","","","","","","","","","","","","","",""
"","","","Landslide Risk
2023.10.23","","","","","","","","","","1","9","22 Galkanda Muthuwana"
"Uva","","","","","","","","","","","","","","","School"
"","","Haputhale","","","","","","","","","","","","",""
"","","","Landslide Risk
2023.10.22","","","","","","","","","","1","17","81 Kalban Vidyalaya"
"","","","Landslide Risk
2023.11.20","","","","","","","","","","1","7","26 Glanor Tamil School"
"","","Uwa Paranagama","Landslide Risk
2023.11.14","","","","","","","","","","1","7","19  Thuparama Temple"
"","","Ella","Heavy Rain
2023.11.23","","","","","","","","","","1","2","7 Karandagolle temple"
"","","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","0","0","0","0","0","0","0","0","0","11","176","589"
"","","පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","0","0","0","0","0","0","0","0","0","11","176","589"
"","","Manthai East","Flash Flood
2023.12.14","261","870","","","","","3","","","","",""
"","","","","","","","","","","","","","","","1. Mankulam M.V"
"","","","","","","","","","","","","","","","2.Puliyankulam"
"","මුලතිව්","Oddusudan","Flash Flood
2023.12.14","118","393","","","","","","","","3","28","93"
"","","","","","","","","","","","","","","","Common Hall 3"
"","Ky;iyj;jPT 
2","","","","","","","","","","","","","",".Siyonmalai Church"
"","Mulaitivu","","","","","","","","","","","","","",""
"","","Maritimepattu","Flash Flood
2023.12.14","44","136","","","","","2","","","","",""
"","","Thunukkai","Flash Flood
2023.12.14","86","267","","","","","","","","","",""
"","","Puthukudiyirippu West","Flash Flood
2023.12.14","128","248","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","637","1914","0","0","0","0","5","0","0","3","28","93"
"","කිලිනනාච්චිය","","","","","","","","","","","","","",""
"","","Karachchi","Flash Flood
2023.12.15","245","827","","","","","4","","","","",""
"","3
fpspnehr;rp","","","","","","","","","","","","","",""
"උතුරු පලාත","","Kandawalai","Flash Flood
2023.12.15","471","1431","","","","","12","","","1","8","18 Punainiravi Community"
"","Killinochchi","","","","","","","","","","","","","","Center"
"tl khfhzk;","","","","","","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","716","2258","0","0","0","0","16","0","0","1","8","18"
"Northen ;","","","","","","","","","","","","","","",""
"","යාපනය","","","","","","","","","","","","","",""
"","4
aho;g;ghzk;","Chanakanai","High Wind
2023.12.14","1","2","","","","","1","","","","",""
"","Jaffna","","","","","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","1","2","0","0","0","0","1","0","0","0","0","0"
"","මන්නාරම","Nannaddan","Heavy Rain
2023.12.15","1","4","","","","","1","","","","",""
"","5
kd;dhH","","","","","","","","","","","","","",""
"","Mannar","Manthai West","Heavy Rain
2023.12.15","16","69","","","","","1","","","","",""
"","","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","17","73","0","0","0","0","2","0","0","0","0","0"
"","","පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","1371","4247","0","0","0","0","24","0","0","4","36","111"
"","කෑගල්ල","Warakapola","Lightning & Tree Fallen 2023.12.14","2","8","","","","","2","","","","",""
"","6
Nffhiy","","","","","","","","","","","","","",""
"","","Dehiowita","Tree Fallen
2023.12.14","1","6","","","","","1","","","","",""
"","Kegalle","","","","","","","","","","","","","",""
"","","Kegalle","Tree Fallen
2023.12.11","1","4","","","","","1","","","","",""
"ස්ත්‍බරගමුව පලාත","","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","4","18","0","0","0","0","4","0","0","0","0","0"
"rg;ufKt","","","","","","","","","","","","","","",""
"","රත්නපුර","Kahawatta","Cutting Faliure
2023.12.13","1","5","","","","","1","","","","",""
"Sabaragamuwa","","","","","","","","","","","","","","",""
"","7
,uj;jpdGhp","Godagakawela","2023.12.14
Heavy Rain","2","6","","","","","2","","","","",""
"","Rathnapura","Weligepola","2023.12.15
Heavy Rain","1","5","","1","","","1","","","","",""
"","","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","4","16","0","1","0","0","4","0","0","0","0","0"
