"","Weather Forecast for Main Cities","","","Date :","14-Sep-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","35","24","90","50","Mainly fair"
"Batticaloa","34","25","90","65","Mainly fair"
"Colombo","32","27","70","60","Several spells of light showers"
"Galle","31","28","85","75","Several spells of showers"
"Jaffna","32","27","90","60","A few showers"
"Kandy","30","22","95","60","A few showers"
"Nuwara-Eliya","23","15","95","75","Several spells of light showers"
"Ratnapura","34","24","95","60","A few showers"
"Trincomalee","35","25","90","70","A few showers"
"Mannar","31","28","80","70","Mainly fair"
