"","Weather Forecast for Main Cities","","","","6-Aug-2023"
"","","Temperature (0C)","Relative Humidity (%)","",""
"City","","","","",""
"","Max","Min","Max","Min",""
"Anuradhapura","35","25","85","50","Mainly fair"
"Batticaloa","33","26","90","65","Mainly fair"
"Colombo","31","27","85","70","Mainly fair"
"Galle","30","27","90","80","Mainly fair"
"Jaffna","34","27","85","65","Mainly fair"
"Kandy","31","22","90","60","A few showers"
"Nuwara-Eliya","21","12","95","65","A few showers"
"Ratnapura","32","24","90","55","Mainly fair"
"Trincomalee","37","26","80","65","Mainly fair"
"Mannar","31","26","85","75","Mainly fair"
