"Arachchikattuwa","1","5","","","","","1","","","","",""
"Puttalam","109","497","","","","","109","","","","",""
"පුත්තලම","","","","","","","","","","","",""
"Mundalama","16","62","","","","","16","","","","",""
"වයඹ පලාත      
7
High Wind
Gj;jsk;","2024.08.16","","","","","","","","","","",""
"Kalpitiya
tlNky; khfhzk","13","49","","1","","","11","","","","",""
"Puttalam","","","","","","","","","","","",""
"North 
Wanathawilluwa","6","21","","1","","","6","","","","",""
"Western","","","","","","","","","","","",""
"Chilaw","2","5","","","","","2","","","","",""
"දිසරික් එකතුව/khtl;l $l;Lj;njhif/District Total","147","639","0","2","0","0","145","0","0","0","0","0"
"පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","147","639","0","2","0","0","145","0","0","0","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","8779","27858","0","2","1","1","172","0","0","1","3","17"
"","","","ආපදා කළමනාකරණ මධ්‍යසරථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre","","","","","","","","",""
