"","","","","Date :","21-Jul-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","",""
"","Max","Min","Max","Min",""
"Anuradhapura","33","25","85","50","Mainly fair"
"Batticaloa","34","26","80","50","Mainly fair"
"Colombo","30","26","90","70","Several spells of showers"
"Galle","29","25","95","80","Several spells of showers"
"Jaffna","32","27","80","60","Mainly fair"
"Kandy","27","23","90","70","Several spells of showers"
"Nuwara-Eliya","17","14","95","85","Showers at times"
"Ratnapura","30","23","95","75","Showers at times"
"Trincomalee","33","26","80","50","Mainly fair"
"Mannar","32","28","90","70","Mainly fair"
